Risk ID,Risk Level,Risk Category,Risk Description,Action Plan,Action Plan Owner,Likelihood,Impact,Risk Rating,Status
RSK-OPS-000001,Operation,Training,Training Pengguna Akhir (End User Training) tidak dapat dilaksanakan mengikut perancangan disebabkan oleh kebergantungan kepada fasa pembangunan mengakibatkan tempoh masa Training yang diperuntukan tidak mencukupi untuk melaksanakan Training serta kelewatan pembangunan dan pemuktamadan Manual Training  untuk melaksanakan Training Pengguna Akhir.,"1. Tower Aplikasi hendaklah memastikan semua dokumentasi berkaitan modul  dibangunkan dan dimuktamadkan dengan segera.

2. Modul Training Pengguna Akhir hendaklah di bangunkan dan dimuktamadkan sebelum M42 (iaitu sebelum Training Pilot).

3. Kontraktor  hendaklah menyediakan persekitaran Training yang lengkap termasuk sampel data Training yang sesuai sebelum Training bermula.

4. Pihak JIM perlu mewujudkan pusat Training dan infrastruktur yang mencukupi sebelum Training bermula. ","1. Tower Aplikasi Kontraktor  

2. Tower Bisnes Kontraktor 

3. Tower Bisnes Kontraktor 

4. Tower Bisnes Kerajaan",3,3,9,Active
RSK-OPS-000010,Operation,Training,Ketiadaan sumber rujukan untuk pengguna  disebabkan oleh Training Manual tidak disediakan dalam bentuk hardcopy dan softcopy mengakibatkan proses kerja tidak lancar ,"1. Kontraktor  hendaklah menyediakan Training Manual dalam bentuk hardcopy (berdasarkan kepada serahan akhir) dan softcopy yang boleh diakses pada bila-bila masa apabila diperlukan 

2. Kontraktor  hendaklah menyediakan garis panduan pengguna untuk mengakses User Manual dan Training Manual di dalam platform LMS.
(30 Ogos 2023)","1. Tower Bisnes Kontraktor 
Tower Aplikasi Kontraktor 

2. Tower Bisnes Kontraktor 
",5,2,10,Active
RSK-OPS-000007,Operation,Human Resource,Penyalahgunaan  oleh JIM dan KDN selepas sistem beroperasi dan dalam tempoh penyelenggaraan disebabkan oleh penyalahgunaan ID pegawai mengakibatkan kebocoran maklumat keselamatan negara.,"1. Membangunkan modul pengurusan ID sebagai salah satu modul dalam sistem . 
URS 
SRS 
SDD
TDD

2. Menetapkan access level bagi setiap pengguna di dalam dokumen IDM.

3. Mengadakan aktiviti kesedaran dari masa ke semasa.","1. Tower Aplikasi Kontraktor .

2. Tower Aplikasi Kontraktor .

3. Tower Pengurusan Kontraktor ",5,3,15,Active
RSK-OPS-000004,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,"1. Memuktamadkan dokumen URS dan RDS ICT Helpdesk dan menyerahkan dokumen kepada Kerajaan. 

2. Memasang dan melaksanakan konfigurasi ICT helpdesk untuk penggunaan log aduan  bermula fasa pembangunan

3. Melaksanakan pengujian Helpdesk ICT.

4. Melaksanakan Training Helpdesk ICT.

5. Memuktamadkan SOP pengoperasian meja bantuan ICT.

6. Memastikan aliran proses sistem meja bantuan ICT (termasuk customization dan konfigurasi) mematuhi keperluan SLA mengikut Jadual 8 dan Jadual 9. ","Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
RSK-STR-000005,Strategic,Force Majure,Ketiadaan BCP yang menyeluruh dalam menghadapi situasi luar jangka selepas  Go-live.,"1. Kerajaan (JIM) hendaklah menyediakan Business Continuity Plan (BCP) yang komprehensif sebagai persediaan menghadapi insiden luar jangka.  
(1 September 2023)

2. Pihak kontraktor  perlu menyediakan BCP Projek yang merangkumi 12 bulan fasa warranti.
(30 Jun 2024)

3. Sekiranya force majure/ bencana berlaku, pihak Kerajaan dan Kontraktor dengan segera hendaklah melaksanakan aktiviti projek berdasarkan prosedur dalam BCP.
(1 September 2023)","1.Bahagian Policy dan Perancangan Strategic JIM

2. Tower Pengurusan Kontraktor 

3.Bahagian Policy dan Perancangan Strategic JIM",1,5,5,Active
RSK-APT-000011,Application and Technical,Deployment,Pembangunan sistem secara serentak bagi kesemua 13 modul boleh melambatkan jadual pelaksanaan disebabkan oleh modul yang ada kebergantungan antara satu sama lain. Ini mengakibatkan jadual pelaksanaan keseluruhan akan terganggu dan tidak mengikut masa yang telah ditetapkan. ,"1. Melaksanakan pelan perancangan strategi penutupan serahan seperti berikut: 
    a. Keutamaan Serahan (Priotizize)
    b. Human Resource
    c. Drill Session
    d. Subject Matter Expert
    e. Morning Standup
     f. Vendor Engagement

2. Menyediakan pelan pembangunan dan pelaksanaan cawangan  dan mengemukakan kepada pihak Kerajaan.","1.Tower Infrastruktur Kontraktor 

2.Tower Infrastruktur Kontraktor ",4,5,20,Active
RSK-OPS-000011,Operation,Training,Proses jemputan TOT dan TOK tidak dilaksanakan dengan sempurna disebabkan oleh ketiadaan perancangan Training secara menyeluruh mengakibatkan kehadiran yang kurang memuaskan. ,"1.Pemakluman kepada pihak Kerajaan dikeluarkan 45 hari sebelum Training TOT dan TOK dilaksanakan. 
(Sepanjang tempoh pelaksanaan projek)

2. Memastikan kehadiran terlibat adalah 100% dan input maklum balas diambil kira bagi memastikan objektif Training dapat dicapai. 
(Sepanjang tempoh pelaksanaan projek)","1. Tower Bisnes Kontraktor  

2. Tower Bisnes Kerajaan 
",4,5,20,Active
RSK-APT-000042,Application and Technical,System Development,Source code dan artifak yang dibangunkan tidak diurus/ diselenggara dengan baik dalam Fasa Pembangunan dan Pengujian,"1. Mengenal pasti dan melantik Release Manager dan Configuration Manager yang berkelayakan dan berkemahiran
(31 Disember 2022)

2.Mengadakan Bengkel Dry Run.
(31 Disember 2022)

3. Memuktamadkan dokumen  yang berkaitan dengan pengurusan source code dan artifak 
-DevOps Blueprint, 
-Konfigurasi DevOps, 
(31 Disember 2022)

4. Perlu memuktamadkan semua tools DevOps dan konfigurasi bagi pengurusan source code dan artifak.
(31 Disember 2022)

5. Menyediakan dokumen Laporan Kesediaan Platform DevOps (Production) dan mengemukakan kepada pihak Kerajaan.","1. Tower Aplikasi Kontraktor 
Tower Pengurusan Kontraktor 

2. Tower Aplikasi Kontraktor 

3. Tower Teknikal Kontraktor 

4. Tower Teknikal Kontraktor 

5. Tower Teknikal Kontraktor ",4,5,20,Active
RSK-APT-000046,Application and Technical,System Development,"Penyelarasan keperluan sistem yang mempunyai kebergantungan antara modul tidak dilaksanakan dengan terperinci yang menyebabkan sistem yang dibangunkan tidak dapat berinteraksi mengikut keperluan yang lengkap. 
","1. Keperluan kebergantungan antara modul perlu dikenal pasti dan direkodkan dengan terperinci dalam setiap dokumen modul yang terlibat dengan penyediaan matriks.
(28 Februari 2023)

2. Perbincangan dan pengesahan bersama SA dan SME setiap modul  bagi pengesahan matriks rentas modul antara Kontraktor  dan Kerajaan. 
(30 November 2022)",Tower Aplikasi Kontraktor ,4,3,12,Active
RSK-PP-000034,Project Management,Risk,Penamatan projek  secara keseluruhan disebabkan oleh kegagalan pihak Kontraktor untuk melaksanakan projek mengikut jadual pelaksanaan mengakibatkan domino effect kepada pihak-pihak berkepentingan,"1. Menyelesaikan isu kekurangan Human Resource dengan mengikut jumlah yang dirancang.
(31 Ogos 2025)

2. Melaksanakan perolehan mengikut perancangan yang telah dipersetujui.
(31 Ogos 2025)

3. Membuat permohonan perlanjutan tempoh Extension of Time (EOT).
(30 Jun 2023)

4. Melantik rakan Strategic untuk mendapatkan suntikan modal tambahan.
(30 Jun 2023)","1. Tower Pengurusan Kontraktor 

2. Tower Pengurusan Kontraktor 

3. Tower Pengurusan Kontraktor 

4. Tower Pengurusan Kontraktor ",5,5,25,Active
RSK-APT-000048,Application and Technical,System Development,906 laporan Data Analytics Business Intelligence (DABI) yang akan dibangunkan tidak tepat disebabkan tiada perincian dalam dokumen SRS atau SDS berkenaan medan-medan yang diperlukan. Ini boleh mengakibatkan tempoh aktiviti pengujian dan pengesahan laporan bertambah panjang serta berulang-ulang seterusnya meningkatkan varian kemajuan projek.,"1. Memperincikan setiap 906 laporan dengan medan-medan yang dirujuk kepada dokumen sumber seperti Dokumen Master Database Design (MDD), Dokumen System Requirement Specification (SRS), Dokumen SDS DataWarehouse/ Data Lake (DWH/DL)",Tower Aplikasi Kontraktor ,3,4,12,Active
RSK-APT-000049,Application and Technical,ICT Security,"Ketiadaan dokumen yang memperincikan keseluruhan elemen keselamatan aplikasi, data, peralatan dan Network bagi Projek  mengakibatkan solusi yang dicadangkan tidak meliputi keseluruhan keperluan keselamatan Projek . ","1. Menyediakan satu dokumen bagi memperincikan keseluruhan keperluan keselamatan dalam Projek  merangkumi keselamatan aplikasi, data, peralatan dan Network. 

2. Dokumen tersebut perlu disemak dan disahkan oleh kesemua Tower iaitu daripada pihak JIM, BTMR, PPK, IPM dan IV&V.

3. Mengemukakan dokumen tersebut kepada pihak Kerajaan mengikut tarikh yang telah dipersetujui.

4. Menyediakan Human Resource yang kompeten bagi penyediaan dokumen.",,3,4,12,Active
RSK-PP-000030,Project Management,Human Resource,Penempatan ahli pasukan projek kurang pengetahuan dan berkemahiran dalam bidang yang berkaitan.,"1. PPK/ IPM hendaklah menyediakan program Training dan pendedahan yang mantap kepada ahli pasukan projek. 

2. PPK/ IPM hendaklah menetapkan peranan dan tanggungjawab dengan jelas sebelum projek bermula.


3. PPK/ IPM hendaklah menyemak peranan dan tanggungjawab dari semasa ke semasa dan membuat penambahbaikan (cth: pelan-pelan pengurusan) sekiranya perlu. 
","Tower Project Management Pasukan Projek 
Item 1, 2 dan 3: M3",3,4,12,Closed
RSK-PP-000029,Project Management,Human Resource,Pertukaran ahli pasukan projek di pihak Kerajaan.,1.  PPK/ IPM hendaklah mewujudkan Repositori Pengetahuan (Knowledge Repository),"Tower Project Management Kerajaan
M1",4,4,16,Closed
RSK-PP-000028,Project Management,Human Resource,Tambahan perjawatan untuk pasukan projek Kerajaan tidak diluluskan. ,"1. PPK hendaklah membuat rayuan semula perjawatan yang diperlukan.


2. PPK hendaklah mencari alternatif jika rayuan ditolak.","Tower Project Management Kerajaan
M1",3,4,12,Closed
RSK-STR-000010,Strategic,Policy,Peruntukan tahunan tidak mencukupi untuk membiayai Cost projek .,"1. Sekiranya peruntukan tahunan tidak mencukupi pihak Kerajaan hendaklah:  
a. menukar kaedah pembiayaan projek kepada model PFI(Private Financial Initiative).
b.  mengecilkan skop projek.
c.  melaksanakan pembangunan modul mengikut keutamaan keperluan semasa pihak JIM.
d. menggunakan sistem sedia ada (MyIMMS) yang telah dipertingkatkan keupayaannya.","Tower Project Management Kerajaan
M1",1,5,5,Closed
RSK-PP-000027,Project Management,Cost,Kontraktor tidak mempunyai kemampuan kewangan yang mencukupi.,"1. Pihak Kerajaan (Bahagian Perolehan KDN) hendaklah melakukan penilaian kedudukan kewangan yang teliti semasa proses pemilihan.

2. Kontraktor  hendaklah memaklumkan kepada KDN keadaan kewangan daripada masa ke semasa untuk dipantau kedudukan kewangan supaya tidak menjejaskan pelaksanaan projek.

3. Pihak Kerajaan (Tower Project Management) hendaklah memasukkan klausa-klausa yang berkaitan (cth: penamatan kontrak disebabkan kedudukan kewangan) dalam kontrak kontraktor pada fasa penyediaan kontrak.

4. Pihak Kerajaan (Tower Project Management) hendaklah memulakan proses penamatan jika perlu.","Tower Project Management Kerajaan
Item 1, 2, 3 dan 4: M4",2,4,8,Closed
RSK-STR-000009,Strategic,Policy,Jumlah ahli pasukan projek yang tidak bersesuaian dengan kompleksiti dan keperluan projek.,"1. Pihak Kerajaan (PPK) hendaklah menyediakan Pelan Pengurusan Sumber yang terperinci dan komprehensif sebelum projek bermula. 

2. Penyumber luaran peranan pemantauan kepada pihak ketiga sekiranya jumlah ahli pasukan yang bersesuaian tidak dapat disediakan oleh pihak Kerajaan.","Tower Project Management Kerajaan
Item 1 dan 2: M1",4,5,20,Closed
RSK-STR-000007,Strategic,Reputation,"Kontraktor tidak berwibawa dan kompeten.
","1. Pihak Kerajaan (Bahagian Perolehan KDN) hendaklah mencadangkan/menasihati Lembaga Tender supaya memilih syarikat yang memenuhi spesifikasi teknikal dan kewangan semasa proses pemilihan kontraktor.

2. Pihak Kerajaan (Tower Project Management) hendaklah menyediakan terma-terma kontrak yang menjaga kepentingan Kerajaan. Pihak Kerajaan hendaklah menguatkuasakan terma-terma kontrak jika Kontraktor ingkar/tidak mematuhi keperluan.

3. Kontraktor hendaklah menyediakan Human Resource yang kompeten dan mencukupi mengikut Pelan Pengurusan Sumber yang telah dipersetujui. Sumber  manusia yang dilantik khas untuk melaksanakan projek . ","Bahagian 
Perolehan KDN
Item 1: M1

Tower Project Management 
Item 2: M3

Tower Project Management Kontraktor 
Item 3: M3",2,5,10,Closed
RSK-PP-000024,Project Management,Scope,Kekangan ruang bagi penempatan rak perkakasan pusat data Projek  di PDSA B8.,"1. Pusat data JIM yang sedia ada sebagai pusat data  alternatif
2. Kontraktor hendaklah menyediakan perancangan dan pengiraan keperluan perkakasan  dengan tepat dan terperinci
Mendapatkan jadual pelaksanaan D6 melalui MAMPU bagi membolehkan Kontraktor membuat perancangan pemasangan atau pelan mitigasi.","MAMPU, JIM, PPK",3,3,9,Closed
RSK-PP-000010,Project Management,Procurement,Pihak Kerajaan melantik Kontraktor yang menggunakan kepakaran asing untuk pelaksanaan projek dan pembangunan aplikasi.,"1. PPK/ IPM hendaklah membuat penetapan melalui penguatkuasaan terma kontrak dalam penglibatan warga asing di dalam projek Kerajaan.

2. PPK/ IPM hendaklah mewujudkan dan menguatkuasa proses pengurusan maklumat sulit supaya terkawal dan tidak jatuh ke pihak ketiga yang tidak berkenaan. 

3. Risk ini dicadangkan menjadi Isu

4. Kontraktor  menyenaraikan senarai nama warga asing yang terlibat

5. Surat rasmi telah dikeluarkan kepada Kontraktor untuk mengemukakan senarai cadangan kakitangan bukan warga negara Malaysia yang terlibat di dalam projek.

6. Perkara ini perlu dibawa ke Mesyuarat Pasukan Projek, Jawatankuasa Teknikal dan Jawatankuasa Pemandu",,3,5,15,Closed
RSK-APT-000037,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)",Pelaksanaan  tidak dapat dilaksanakan di pos Imigresen yang berada di kawasan pedalaman.,"Pihak JIM perlu menyediakan infrastruktur asas di lokasi yang telah dikenal pasti sebelum Projek  bermula.
i) Site Visit untuk kawasan pedalaman Sabah dan Sarawak perlu dimasukkan ke dalam Pelan Pelaksanaan.
","Bahagian Khidmat Pengurusan JIM -
 M1",5,5,25,Closed
RSK-PP-000023,Project Management,Time,Pelan pelaksanaan bengkel belum dikeluarkan oleh Kontraktor  yang akan menyebabkan kelewatan pelaksanaan fasa RDS.,"Pelan Pelaksanaan RDS telah dibentangkan pada 12, 15, 23 dan 29 Mac 2021.
",Tower Project Management Kontraktor ,5,5,25,Closed
RSK-PP-000026,Project Management,Time,Kebergantungan aktiviti pengujian secara khususnya pada fasa quality gates antara Kontraktor  dan Pasukan IV&V mungkin menyebabkan kelewatan projek.,"1.	Penyediaan Pelan Pelaksanaan Pengujian yang komprehensif;

2.	Penyediaan Human Resource yang mencukupi;

3.	Penyediaan Integrated Plan yang akan memberi gambaran keseluruhan terhadap interdependency; dan

4.	Pilihan untuk Go With Risk di mana kebenaran untuk ke fasa seterusnya diberikan berdasarkan kepada kesediaan modul dan bukan aktiviti keseluruhan.","Che Azian, Azlan
Item1: Pelan pelaksanaan pihak IV&V telah diserahkan kepada pihak Kerajaan pada 23-Jun-2021 dan telah dipersetujui. Jadual ini akan diserahkan kepada pihak Pasukan Projek kerajaan pada 2 -Jul-2021.
Aktiviti IV&V telah dipersetujui untuk dilaksanakan dalam tempoh 10 hari bekerja selepas menerima notis kerajaan. Maka, aktiviti IV&V tiada kebergantungan kepada fasa quality gates kontraktor .

Item2: 17-Jul-2021 (Sebelum sesi semakan URS). 

Item3: Pelan pelaksanaan pihak IV&V telah diserahkan kepada pihak Kerajaan pada 23-Jun-2021 dan telah dipersetujui. Jadual ini akan diserahkan kepada pihak Pasukan Projek kerajaan pada 2-Jul-2021.
Aktiviti IV&V telah dipersetujui untuk dilaksanakan dalam tempoh 10 hari bekerja selepas menerima notis kerajaan. Maka, aktiviti IV&V tiada kebergantungan kepada fasa quality gates kontraktor .

Noor Ezleen 
Item4: Seperti yang dijelaskan semasa perbincangan mengenai Jadual Pelaksanaan Perkhidmatan IV&V pada 18 Jun 2021 dan telah dipersetujui, penilaian quality gates boleh dilaksanakan mengikut skop/modul dan rangka kerja penilaian quality gates akan dinyatakan di dalam IV&V Quality Assurance Plan.

Draf pertama Quality Assurance Pelan akan dihantar untuk semakan pada 14-Julai-2021.",4,5,20,Closed
RSK-PP-000031,Project Management,Integration,"Tidak mendapat kerjasama, sokongan dan persetujuan daripada 24 agensi terlibat semasa pelaksanaan projek.","1. Tower CMT, hendaklah melaksanakan engagement dengan pengurusan tertinggi agensi untuk makluman dan persetujuan sebelum projek bermula. (Pengurus Change Management)

2. Pihak Kerajaan hendaklah menyediakan projek charter antara KDN dan agensi dengan menekankan skop kolaborasi, jadual pelaksanaan, deliverables serta pasukan yang terlibat semasa fasa permulaan projek . (PMO KDN).

3. Melaksanakan libat urus bersama agensi berkaitan bagi mendapatkan kelulusan Policy persetujuan integrasi antara agensi

4. Mewujudkan Jawatankuasa Kerja Integrasi yang dipengerusikan oleh Ketua PPK dan diurus setiakan oleh Tower Aplikasi Pasukan Projek .","Tower Bisnes Kerajaan
Item1: Selesai

Tower Project Management Kerajaan
Item1, Item2, Item3  & Item4: Sebelum RDS dimuktamadkan (September 2021)",5,4,20,Closed
RSK-APT-000036,Application and Technical,System Development,Sesi Engagement bersama pihak Agensi belum dilaksanakan,Sesi engagement bersama pihak Agensi yang terlibat perlu dilaksanakan dengan kadar segera sebelum 15/5/2021 bagi memberi peluang kepada sebarang perubahan yang berlaku semasa sesi RDS dan sebelum sign off URS yang dijadualkan pada 10/06/2021.,"Kontraktor 
Tower Aplikasi - Integrasi",5,5,25,Closed
RSK-PP-000022,Project Management,Human Resource,Notis pendek dalam pertukaran ahli pasukan projek di pihak Kontraktor.,"1. PPK/ IPM hendaklah menetapkan terma dan klausa pertukaran ahli pasukan projek (cth: sebarang pertukaran hendaklah dimaklumkan 2 bulan sebelum pertukaran dibuat). 

2. PPK hendaklah menguatkuasakan terma dan klausa kontrak.","Tower Project Management Kerajaan
Item 1: M4 
Item 2: Sepanjang pelaksanaan projek ",4,5,20,Closed
