Risk ID,Risk Level,Risk Category,Risk Description,Action Plan,Action Plan Owner,Likelihood,Impact,Risk Rating,Status
R019,Application and Technical,System Development, The system developed does not follow standard quality processes yang telah ditetapkan oleh pihak Kerajaan disebabkan oleh penyelarasan dokumentasi dan proses pembangunan tidak mengikut metodologi yang telah dipersetujui.,"Semua deliverables perlu melalui proses serahan yang telah ditetapkan oleh Kerajaan.
(28 Februari 2022)","1.Tower Aplikasi Kontraktor 
Tower Aplikasi Kerajaan

2.Tower Aplikasi Kerajaan 
Pasukan IV&V 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor ",4,3,12,Active
R020,Application and Technical,System Development, The system developed does not follow standard quality processes yang telah ditetapkan oleh pihak Kerajaan disebabkan oleh penyelarasan dokumentasi dan proses pembangunan tidak mengikut metodologi yang telah dipersetujui.,"Mewujudkan Task Force untuk memantau pembangunan  agar mengikut standard kualiti yang ditetapkan.
(31 Januari 2023)","1.Tower Aplikasi Kontraktor 
Tower Aplikasi Kerajaan

2.Tower Aplikasi Kerajaan 
Pasukan IV&V 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor ",4,3,12,Active
R021,Application and Technical,System Development, The system developed does not follow standard quality processes yang telah ditetapkan oleh pihak Kerajaan disebabkan oleh penyelarasan dokumentasi dan proses pembangunan tidak mengikut metodologi yang telah dipersetujui.,Menyediakan dokumen Master Development Plan (MDP) dan mengemukakan kepada pihak Kerajaan.,"1.Tower Aplikasi Kontraktor 
Tower Aplikasi Kerajaan

2.Tower Aplikasi Kerajaan 
Pasukan IV&V 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor ",4,3,12,Active
R022,Application and Technical,System Development,"Sistem  tidak boleh beradaptasi dengan sebarang perubahan teknologi baru (sistem,perisian dan infra) pada masa akan datang

","Memastikan Pembangunan sistem  berasaskan MicroServices Architecture (MSA). 
(31 Disember 2022)","1. Tower Aplikasi Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor 

4. Tower Aplikasi Kontraktor 


",3,4,12,Active
R023,Application and Technical,System Development,"Sistem  tidak boleh beradaptasi dengan sebarang perubahan teknologi baru (sistem,perisian dan infra) pada masa akan datang

","Mengenalpasti dan menyenaraikan perkara yang hampir tamat tempoh;
-Sistem sokongan
-Perisian 
-Peralatan
(31 Disember 2022)","1. Tower Aplikasi Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor 

4. Tower Aplikasi Kontraktor 


",3,4,12,Active
R024,Application and Technical,System Development,"Sistem  tidak boleh beradaptasi dengan sebarang perubahan teknologi baru (sistem,perisian dan infra) pada masa akan datang

","Melaksanakan pemantauan bersepadu dan teknologi refresh bagi setiap 3 tahun dengan kaedah pemantauan berikut:
-Mendapatkan maklumat mengenai perubahan yang perlu dibuat 
-Membuat kajian impak terhadap perubahan diperlukan.
-Mencadangkan perubahan yang perlu dilakukan.
(31 Mei 2024)","1. Tower Aplikasi Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor 

4. Tower Aplikasi Kontraktor 


",3,4,12,Active
R025,Application and Technical,System Development,"Sistem  tidak boleh beradaptasi dengan sebarang perubahan teknologi baru (sistem,perisian dan infra) pada masa akan datang

","Pihak Kerajaan dan Kontraktor hendaklah membangunkan sistem yang configurable dan fleksible dan menggunakan work flow engine.
(1 Ogos 2023)","1. Tower Aplikasi Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor 

4. Tower Aplikasi Kontraktor 


",3,4,12,Active
R026,Application and Technical,System Development,"Data yang dipindahkan (migrasi) dari sistem lama ke sistem baharu tidak memenuhi kualiti data disebabkan oleh aktiviti data cleansing dan harmonisation tidak mengikut proses yang telah ditetapkan mengakibatkan data transaksi, statistik dan laporan yang dikeluarkan tidak tepat.
","Kontraktor  hendaklah menyediakan Pelan Migrasi Data dengan menyatakan secara jelas dan terperinci pendekatan, kaedah, proses dan senarai semak sebelum aktiviti migrasi dilaksanakan. Pelan migrasi data perlu mendapat pengesahan dan persetujuan oleh pihak Kerajaan.","1. Tower Teknikal Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor ",2,5,10,Active
R027,Application and Technical,System Development,"Data yang dipindahkan (migrasi) dari sistem lama ke sistem baharu tidak memenuhi kualiti data disebabkan oleh aktiviti data cleansing dan harmonisation tidak mengikut proses yang telah ditetapkan mengakibatkan data transaksi, statistik dan laporan yang dikeluarkan tidak tepat.
","Kontraktor  hendaklah melaksanakan dengan sempurna proses migrasi data mengikut Pelan Migrasi Data yang telah dipersetujui oleh pihak kerajaan seperti 
-Menjalankan kerja-kerja pembangunan seperti mapping, cleansing, harmonization dan sinkronisasi
-Melibatkan data steward dan data validator yang dilantik daripada pihak kerajaan 
-Melakukan pengujian (cleansing and harmonisation rules) migrasi dan sinkronisasi data bersama pihak kerajaan yang dilantik.","1. Tower Teknikal Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor ",2,5,10,Active
R028,Application and Technical,System Development,"Data yang dipindahkan (migrasi) dari sistem lama ke sistem baharu tidak memenuhi kualiti data disebabkan oleh aktiviti data cleansing dan harmonisation tidak mengikut proses yang telah ditetapkan mengakibatkan data transaksi, statistik dan laporan yang dikeluarkan tidak tepat.
","Melaksanakan aktiviti validasi dan verifikasi data transaksi, laporan dan statistik melalui aplikasi .","1. Tower Teknikal Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor ",2,5,10,Active
R029,Application and Technical,System Development,Data yang disikronisasi di antara sistem lama dan baru tidak tepat disebabkan oleh aktiviti data transformasi 2 hala tidak mengikut proses yang ditetapkan mengakibatkan keberadaan data di sistem lama dan baru tidak konsisten.,"Kontraktor  hendaklah melaksanakan dengan sempurna proses sinkronisasi data mengikut Pelan Sikronisasi Data yang telah dipersetujui oleh pihak kerajaan seperti 
i. Menjalankan kerja-kerja pembangunan seperti mapping, cleansing, harmonization dan sinkronisasi
ii. Melibatkan data steward dan data validator yang dilantik daripada pihak kerajaan 
iii. Melakukan pengujian (cleansing and harmonisation rules) sinkronisasi data bersama pihak kerajaan yang dilantik
(31 Mei 2024)",1.Tower Teknikal Kontraktor ,3,5,15,Active
R030,Application and Technical,Network,"Keupayaan infrastruktur Network (line connectivity) tidak memenuhi keperluan capaian  disebabkan oleh bandwidth tidak mencukupi dan boleh mengakibatkan gangguan capaian .
",Menyenaraikan parameter yang menyumbang kepada penggunaan bandwidth,"1. Tower Infrastruktur Kontraktor .

2. Tower Infrastruktur Kontraktor .

3. Tower Infrastruktur Kontraktor .

4. Tower Infrastruktur & Aplikasi Kontraktor .

5. Tower Infrastruktur & Aplikasi Kontraktor .",5,5,25,Active
R031,Application and Technical,Network,"Keupayaan infrastruktur Network (line connectivity) tidak memenuhi keperluan capaian  disebabkan oleh bandwidth tidak mencukupi dan boleh mengakibatkan gangguan capaian .
",Melaksanakan simulasi berdasarkan parameter yang dikenal pasti.,"1. Tower Infrastruktur Kontraktor .

2. Tower Infrastruktur Kontraktor .

3. Tower Infrastruktur Kontraktor .

4. Tower Infrastruktur & Aplikasi Kontraktor .

5. Tower Infrastruktur & Aplikasi Kontraktor .",5,5,25,Active
R032,Application and Technical,Network,"Keupayaan infrastruktur Network (line connectivity) tidak memenuhi keperluan capaian  disebabkan oleh bandwidth tidak mencukupi dan boleh mengakibatkan gangguan capaian .
",Menaik taraf Bandwidth sedia ada.,"1. Tower Infrastruktur Kontraktor .

2. Tower Infrastruktur Kontraktor .

3. Tower Infrastruktur Kontraktor .

4. Tower Infrastruktur & Aplikasi Kontraktor .

5. Tower Infrastruktur & Aplikasi Kontraktor .",5,5,25,Active
R033,Application and Technical,Network,"Keupayaan infrastruktur Network (line connectivity) tidak memenuhi keperluan capaian  disebabkan oleh bandwidth tidak mencukupi dan boleh mengakibatkan gangguan capaian .
","Mengemukakan cadangan IPSec (Voice, Text Video).","1. Tower Infrastruktur Kontraktor .

2. Tower Infrastruktur Kontraktor .

3. Tower Infrastruktur Kontraktor .

4. Tower Infrastruktur & Aplikasi Kontraktor .

5. Tower Infrastruktur & Aplikasi Kontraktor .",5,5,25,Active
R034,Application and Technical,Network,"Keupayaan infrastruktur Network (line connectivity) tidak memenuhi keperluan capaian  disebabkan oleh bandwidth tidak mencukupi dan boleh mengakibatkan gangguan capaian .
",Melaksanakan bandwith shaping bagi bandwidth yang terlibat,"1. Tower Infrastruktur Kontraktor .

2. Tower Infrastruktur Kontraktor .

3. Tower Infrastruktur Kontraktor .

4. Tower Infrastruktur & Aplikasi Kontraktor .

5. Tower Infrastruktur & Aplikasi Kontraktor .",5,5,25,Active
R035,Application and Technical,System Development,Integriti data dalam  dipertikai.,Memastikan sistem bug diselesaikan sebelum sesuatu Release.,"1. Tower Aplikasi Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Teknikal Kontraktor ",3,4,12,Active
R036,Application and Technical,System Development,Integriti data dalam  dipertikai.,Melaksanakan Security Posture Assessment (SPA).,"1. Tower Aplikasi Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Teknikal Kontraktor ",3,4,12,Active
R037,Application and Technical,System Development,Integriti data dalam  dipertikai.,Menyediakan fungsi Audit trail yang komprehensif bagi tujuan pemantauan setiap transaksi dalam .,"1. Tower Aplikasi Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Teknikal Kontraktor ",3,4,12,Active
R038,Application and Technical,System Development,Integriti data dalam  dipertikai.,"Memastikan Data Migration Plan dan Data Synchonization Plan mengandungi;
Mengandungi proses migrasi data yang menjamin completion, consistency, accuracy dan security.","1. Tower Aplikasi Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Teknikal Kontraktor ",3,4,12,Active
R039,Operation,Training,Training Pengguna Akhir (End User Training) tidak dapat dilaksanakan mengikut perancangan disebabkan oleh kebergantungan kepada fasa pembangunan mengakibatkan tempoh masa Training yang diperuntukan tidak mencukupi untuk melaksanakan Training serta kelewatan pembangunan dan pemuktamadan Manual Training  untuk melaksanakan Training Pengguna Akhir.,Tower Aplikasi hendaklah memastikan semua dokumentasi berkaitan modul  dibangunkan dan dimuktamadkan dengan segera.,"1. Tower Aplikasi Kontraktor  

2. Tower Bisnes Kontraktor 

3. Tower Bisnes Kontraktor 

4. Tower Bisnes Kerajaan",3,3,9,Active
R040,Operation,Training,Training Pengguna Akhir (End User Training) tidak dapat dilaksanakan mengikut perancangan disebabkan oleh kebergantungan kepada fasa pembangunan mengakibatkan tempoh masa Training yang diperuntukan tidak mencukupi untuk melaksanakan Training serta kelewatan pembangunan dan pemuktamadan Manual Training  untuk melaksanakan Training Pengguna Akhir.,Modul Training Pengguna Akhir hendaklah di bangunkan dan dimuktamadkan sebelum M42 (iaitu sebelum Training Pilot).,"1. Tower Aplikasi Kontraktor  

2. Tower Bisnes Kontraktor 

3. Tower Bisnes Kontraktor 

4. Tower Bisnes Kerajaan",3,3,9,Active
R041,Operation,Training,Training Pengguna Akhir (End User Training) tidak dapat dilaksanakan mengikut perancangan disebabkan oleh kebergantungan kepada fasa pembangunan mengakibatkan tempoh masa Training yang diperuntukan tidak mencukupi untuk melaksanakan Training serta kelewatan pembangunan dan pemuktamadan Manual Training  untuk melaksanakan Training Pengguna Akhir.,Kontraktor  hendaklah menyediakan persekitaran Training yang lengkap termasuk sampel data Training yang sesuai sebelum Training bermula.,"1. Tower Aplikasi Kontraktor  

2. Tower Bisnes Kontraktor 

3. Tower Bisnes Kontraktor 

4. Tower Bisnes Kerajaan",3,3,9,Active
R042,Operation,Training,Training Pengguna Akhir (End User Training) tidak dapat dilaksanakan mengikut perancangan disebabkan oleh kebergantungan kepada fasa pembangunan mengakibatkan tempoh masa Training yang diperuntukan tidak mencukupi untuk melaksanakan Training serta kelewatan pembangunan dan pemuktamadan Manual Training  untuk melaksanakan Training Pengguna Akhir.,Pihak JIM perlu mewujudkan pusat Training dan infrastruktur yang mencukupi sebelum Training bermula.,"1. Tower Aplikasi Kontraktor  

2. Tower Bisnes Kontraktor 

3. Tower Bisnes Kontraktor 

4. Tower Bisnes Kerajaan",3,3,9,Active
R043,Operation,Training,Ketiadaan sumber rujukan untuk pengguna  disebabkan oleh Training Manual tidak disediakan dalam bentuk hardcopy dan softcopy mengakibatkan proses kerja tidak lancar ,Kontraktor  hendaklah menyediakan Training Manual dalam bentuk hardcopy (berdasarkan kepada serahan akhir) dan softcopy yang boleh diakses pada bila-bila masa apabila diperlukan,"1. Tower Bisnes Kontraktor 
Tower Aplikasi Kontraktor 

2. Tower Bisnes Kontraktor 
",5,2,10,Active
R044,Operation,Training,Ketiadaan sumber rujukan untuk pengguna  disebabkan oleh Training Manual tidak disediakan dalam bentuk hardcopy dan softcopy mengakibatkan proses kerja tidak lancar ,"Kontraktor  hendaklah menyediakan garis panduan pengguna untuk mengakses User Manual dan Training Manual di dalam platform LMS.
(30 Ogos 2023)","1. Tower Bisnes Kontraktor 
Tower Aplikasi Kontraktor 

2. Tower Bisnes Kontraktor 
",5,2,10,Active
R045,Operation,Human Resource,Penyalahgunaan  oleh JIM dan KDN selepas sistem beroperasi dan dalam tempoh penyelenggaraan disebabkan oleh penyalahgunaan ID pegawai mengakibatkan kebocoran maklumat keselamatan negara.,"Membangunkan modul pengurusan ID sebagai salah satu modul dalam sistem . 
URS 
SRS 
SDD
TDD","1. Tower Aplikasi Kontraktor .

2. Tower Aplikasi Kontraktor .

3. Tower Pengurusan Kontraktor ",5,3,15,Active
R046,Operation,Human Resource,Penyalahgunaan  oleh JIM dan KDN selepas sistem beroperasi dan dalam tempoh penyelenggaraan disebabkan oleh penyalahgunaan ID pegawai mengakibatkan kebocoran maklumat keselamatan negara.,Menetapkan access level bagi setiap pengguna di dalam dokumen IDM.,"1. Tower Aplikasi Kontraktor .

2. Tower Aplikasi Kontraktor .

3. Tower Pengurusan Kontraktor ",5,3,15,Active
R047,Operation,Human Resource,Penyalahgunaan  oleh JIM dan KDN selepas sistem beroperasi dan dalam tempoh penyelenggaraan disebabkan oleh penyalahgunaan ID pegawai mengakibatkan kebocoran maklumat keselamatan negara.,Mengadakan aktiviti kesedaran dari masa ke semasa.,"1. Tower Aplikasi Kontraktor .

2. Tower Aplikasi Kontraktor .

3. Tower Pengurusan Kontraktor ",5,3,15,Active
R048,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,Memuktamadkan dokumen URS dan RDS ICT Helpdesk dan menyerahkan dokumen kepada Kerajaan.,"Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
R049,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,Memasang dan melaksanakan konfigurasi ICT helpdesk untuk penggunaan log aduan  bermula fasa pembangunan,"Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
R050,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,Melaksanakan pengujian Helpdesk ICT.,"Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
R051,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,Melaksanakan Training Helpdesk ICT.,"Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
R052,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,Memuktamadkan SOP pengoperasian meja bantuan ICT.,"Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
R053,Operation,SOP/ Process,Pengoperasian sistem  Helpdesk ICT tidak teratur disebabkan oleh pelaporan yang tidak tepat mengakibatkan SLA meja bantuan tidak tercapai sepenuhnya.,Memastikan aliran proses sistem meja bantuan ICT (termasuk customization dan konfigurasi) mematuhi keperluan SLA mengikut Jadual 8 dan Jadual,"Tower Infrastruktur
Kontraktor  & BTMR JIM

",2,2,4,Active
R054,Strategic,Force Majure,Ketiadaan BCP yang menyeluruh dalam menghadapi situasi luar jangka selepas  Go-live.,"Kerajaan (JIM) hendaklah menyediakan Business Continuity Plan (BCP) yang komprehensif sebagai persediaan menghadapi insiden luar jangka.  
(1 September 2023)","1.Bahagian Policy dan Perancangan Strategic JIM

2. Tower Pengurusan Kontraktor 

3.Bahagian Policy dan Perancangan Strategic JIM",1,5,5,Active
R055,Strategic,Force Majure,Ketiadaan BCP yang menyeluruh dalam menghadapi situasi luar jangka selepas  Go-live.,"Pihak kontraktor  perlu menyediakan BCP Projek yang merangkumi 12 bulan fasa warranti.
(30 Jun 2024)","1.Bahagian Policy dan Perancangan Strategic JIM

2. Tower Pengurusan Kontraktor 

3.Bahagian Policy dan Perancangan Strategic JIM",1,5,5,Active
