Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Transfer of Knowledge (TOK),To Do,High,12,Medium,Medium
Office Renovation,To Do,Medium,14,Medium,Medium
DevOps,To Do,Medium,23,High,High
Change Management,In Progress,High,28,High,Low
Certificate of Acceptance (CoA),To Do,High,7,Low,High
Project Management,To Do,Low,1,Low,Medium
Communication and Collaboration Tools,In Progress,Low,24,High,High
Transfer of Technology (TOT),To Do,High,10,Medium,Low
Portal,In Progress,Medium,1,Low,Medium
Customer Relationship Management (CRM),In Progress,High,13,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,High,8,Low,High
Transfer of Technology (TOT),To Do,Medium,20,High,Low
Business Continuity Plan (BCP),In Progress,Medium,18,Medium,Medium
DevOps,Completed,Low,1,Low,Low
Finalization and Integration,In Progress,Low,10,Medium,High
Contract Documentation,Completed,High,25,High,Low
Customer Relationship Management (CRM),Completed,Medium,13,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,28,High,Medium
Certificate of Acceptance (CoA),To Do,High,28,High,Medium
Workflow Management,Completed,High,20,High,Low
Enterprise Architecture (EA),In Progress,High,19,Medium,Low
Certificate of Acceptance (CoA),In Progress,Low,11,Medium,Medium
Project Management Information System (PMIS),Completed,High,5,Low,Low
Office Renovation,Completed,High,6,Low,Low
Communication and Collaboration Tools,Completed,Low,13,Medium,Low
Monitoring & Control Reports,Completed,Low,12,Medium,Low
Workflow Management,Completed,Medium,28,High,Low
Training Management,Completed,High,15,Medium,Low
Office Renovation,Completed,Low,2,Low,Low
Data Services & Management,In Progress,High,4,Low,High
Notification System,Completed,High,19,Medium,Low
Monitoring & Control Reports,Completed,Medium,11,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Medium,24,High,High
Training Management,To Do,High,22,High,Low
Human Resource Management (HRM),Completed,Low,30,High,Low
Certificate of Acceptance (CoA),To Do,High,18,Medium,Medium
Finalization and Integration,Completed,Low,25,High,Low
Portal,To Do,High,6,Low,High
Communication and Collaboration Tools,To Do,High,16,Medium,High
Office Renovation,In Progress,High,7,Low,High
User Interface and User Experience (UI/UX),In Progress,Low,8,Low,Low
Training Management,Completed,Medium,12,Medium,Low
Transfer of Technology (TOT),To Do,Low,6,Low,Low
User Interface and User Experience (UI/UX),Completed,Low,28,High,Low
Business Continuity Plan (BCP),To Do,High,4,Low,High
Project Management,In Progress,Medium,22,High,Low
Contract Documentation,Completed,Medium,12,Medium,Low
Reporting and Analytics,Completed,Low,20,High,Low
Office Renovation,To Do,Low,3,Low,Low
Audit and Compliance,In Progress,High,18,Medium,Low
Notification System,To Do,High,14,Medium,Low
Finalization and Integration,To Do,Low,14,Medium,High
Finalization and Integration,In Progress,Medium,18,Medium,Medium
Customer Relationship Management (CRM),In Progress,High,6,Low,High
Transfer of Knowledge (TOK),Completed,High,30,High,Low
Inventory Management,In Progress,High,13,Medium,High
Project Management,In Progress,High,21,High,High
DevOps,To Do,High,3,Low,High
Inventory Management,Completed,Medium,15,Medium,Low
Project Management,Completed,High,1,Low,Low
Audit and Compliance,To Do,Low,26,High,Low
Customer Relationship Management (CRM),Completed,Low,16,Medium,Low
Reporting and Analytics,To Do,High,13,Medium,Low
Monitoring & Control Reports,In Progress,Medium,7,Low,High
Communication and Collaboration Tools,In Progress,Medium,8,Low,Medium
Notification System,Completed,Medium,24,High,Low
Data Management and Storage,In Progress,High,8,Low,High
Customer Relationship Management (CRM),Completed,Medium,21,High,Low
DevOps,In Progress,Medium,21,High,Medium
Human Resource Management (HRM),Completed,Medium,4,Low,Low
Inventory Management,To Do,Low,21,High,High
Enterprise Architecture (EA),In Progress,Medium,1,Low,Medium
Data Services & Management,To Do,Low,4,Low,Low
Communication and Collaboration Tools,In Progress,High,11,Medium,Low
Contract Documentation,To Do,High,8,Low,High
Workflow Management,Completed,Medium,18,Medium,Low
Human Resource Management (HRM),In Progress,Medium,3,Low,High
Monitoring & Control Reports,Completed,Low,15,Medium,Low
Data Management and Storage,In Progress,High,4,Low,High
Office Renovation,To Do,Low,17,Medium,Low
Finalization and Integration,Completed,Medium,15,Medium,Low
Office Renovation,In Progress,Low,11,Medium,Low
Training Management,In Progress,High,4,Low,High
Data Lake & Data Warehouse Operation,In Progress,Medium,3,Low,Medium
Inventory Management,Completed,Low,29,High,Low
Finalization and Integration,Completed,Low,30,High,Low
Workflow Management,To Do,Medium,13,Medium,Medium
Certificate of Acceptance (CoA),To Do,Medium,15,Medium,Medium
Project Management,Completed,Medium,21,High,Low
Portal,In Progress,Medium,10,Medium,Medium
Data Management and Storage,To Do,Low,13,Medium,Medium
Workflow Management,In Progress,High,20,High,Low
Data Services & Management,In Progress,Medium,1,Low,High
Finalization and Integration,To Do,High,10,Medium,Medium
Office Renovation,In Progress,High,29,High,Low
Workflow Management,To Do,High,30,High,Medium
Communication and Collaboration Tools,In Progress,Low,7,Low,High
Transfer of Technology (TOT),Completed,Medium,12,Medium,Low
Training Management,In Progress,Low,29,High,Low
Change Management,Completed,Medium,5,Low,Low
Training Management,In Progress,Low,21,High,Low
Customer Relationship Management (CRM),Completed,Low,14,Medium,Low
Monitoring & Control Reports,To Do,High,7,Low,High
Transfer of Technology (TOT),To Do,Medium,19,Medium,Medium
Contract Documentation,Completed,High,22,High,Low
Management Plans,In Progress,High,7,Low,High
Portal,In Progress,High,22,High,Medium
Change Management,Completed,Medium,5,Low,Low
Data Management and Storage,Completed,High,11,Medium,Low
Monitoring & Control Reports,To Do,Medium,13,Medium,Medium
Project Management,To Do,High,30,High,Medium
Enterprise Architecture (EA),To Do,Low,16,Medium,High
Customer Relationship Management (CRM),Completed,High,9,Low,Low
Inventory Management,Completed,High,13,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,High,30,High,Low
DevOps,Completed,Medium,14,Medium,Low
DevOps,To Do,Low,28,High,Medium
Contract Documentation,Completed,Medium,16,Medium,Low
Enterprise Architecture (EA),Completed,High,22,High,Low
Transfer of Knowledge (TOK),In Progress,Medium,29,High,High
DevOps,To Do,High,22,High,High
Transfer of Knowledge (TOK),In Progress,Medium,15,Medium,Medium
Notification System,In Progress,Low,16,Medium,Medium
Project Management Information System (PMIS),In Progress,Low,1,Low,Low
Certificate of Acceptance (CoA),In Progress,High,21,High,Low
Project Closure Report,To Do,Medium,29,High,Low
Portal Learning Management System (LMS),To Do,Low,14,Medium,Low
Data Lake & Data Warehouse Operation,Completed,Medium,6,Low,Low
Transfer of Knowledge (TOK),In Progress,High,10,Medium,Medium
Project Management Information System (PMIS),To Do,Medium,20,High,Low
Project Management,In Progress,Low,11,Medium,Low
Human Resource Management (HRM),Completed,Low,23,High,Low
Training Management,To Do,Medium,5,Low,Low
Project Management Information System (PMIS),In Progress,Medium,4,Low,Low
Finalization and Integration,In Progress,Low,17,Medium,High
Communication and Collaboration Tools,Completed,Low,17,Medium,Low
Workflow Management,Completed,Medium,9,Low,Low
Data Lake & Data Warehouse Operation,To Do,High,27,High,High
Payment Gateway Integration,In Progress,Medium,6,Low,Medium
Audit and Compliance,To Do,Low,3,Low,Low
Transfer of Technology (TOT),In Progress,High,21,High,Low
Change Management,Completed,Low,14,Medium,Low
Certificate of Acceptance (CoA),Completed,High,22,High,Low
Payment Gateway Integration,To Do,High,12,Medium,High
Project Closure Report,In Progress,High,17,Medium,Low
Data Lake & Data Warehouse Operation,To Do,High,21,High,High
Finalization and Integration,To Do,High,8,Low,High
Inventory Management,To Do,High,6,Low,High
Monitoring & Control Reports,In Progress,High,9,Low,High
Portal,To Do,Medium,16,Medium,Medium
Workflow Management,To Do,High,30,High,High
Transfer of Technology (TOT),Completed,Medium,12,Medium,Low
Audit and Compliance,In Progress,Low,26,High,Low
Management Plans,Completed,High,11,Medium,Low
Transfer of Technology (TOT),In Progress,High,27,High,Low
Change Management,Completed,High,15,Medium,Low
Change Management,Completed,Low,26,High,Low
Project Management,To Do,Medium,8,Low,High
Business Continuity Plan (BCP),In Progress,Low,24,High,Low
User Interface and User Experience (UI/UX),Completed,High,23,High,Low
Contract Documentation,In Progress,Medium,21,High,Low
DevOps,To Do,High,17,Medium,Low
DevOps,To Do,High,30,High,Low
Project Management,Completed,Medium,7,Low,Low
Contract Documentation,In Progress,Low,30,High,Low
Workflow Management,To Do,High,24,High,High
Enterprise Architecture (EA),In Progress,Low,10,Medium,Low
Business Continuity Plan (BCP),Completed,Low,12,Medium,Low
Monitoring & Control Reports,In Progress,Medium,7,Low,Low
Data Management and Storage,To Do,High,18,Medium,High
Training Management,In Progress,Low,5,Low,Low
Contract Documentation,To Do,Medium,26,High,Low
Data Management and Storage,To Do,High,7,Low,High
Finalization and Integration,To Do,Medium,13,Medium,Medium
Workflow Management,Completed,High,3,Low,Low
Business Continuity Plan (BCP),To Do,Low,19,Medium,Low
User Interface and User Experience (UI/UX),Completed,Medium,25,High,Low
User Interface and User Experience (UI/UX),To Do,Low,5,Low,Low
User Interface and User Experience (UI/UX),To Do,Low,24,High,High
Transfer of Knowledge (TOK),Completed,Medium,2,Low,Low
Data Management and Storage,In Progress,Medium,23,High,High
Training Management,In Progress,Medium,5,Low,Low
Notification System,To Do,High,1,Low,High
Data Management and Storage,Completed,High,7,Low,Low
Customer Relationship Management (CRM),In Progress,High,8,Low,High
Project Management,In Progress,Medium,8,Low,High
Portal,In Progress,Low,30,High,Medium
Enterprise Architecture (EA),To Do,Low,20,High,Low
Inventory Management,In Progress,Medium,4,Low,Low
Training Management,Completed,Medium,22,High,Low
Audit and Compliance,In Progress,High,21,High,Low
Payment Gateway Integration,To Do,High,4,Low,High
Notification System,Completed,High,8,Low,Low
Training Management,In Progress,Low,3,Low,Low
Project Management,In Progress,Low,11,Medium,High
Audit and Compliance,To Do,High,19,Medium,Low
Project Management,To Do,High,9,Low,High
Enterprise Architecture (EA),To Do,High,12,Medium,Low
Office Renovation,In Progress,High,14,Medium,Low
User Interface and User Experience (UI/UX),Completed,Low,22,High,Low
Business Continuity Plan (BCP),To Do,Low,13,Medium,Low
Office Renovation,To Do,High,4,Low,High
Human Resource Management (HRM),Completed,High,8,Low,Low
Inventory Management,In Progress,High,26,High,Low
Management Plans,To Do,Medium,14,Medium,Medium
Workflow Management,Completed,High,29,High,Low
User Authentication and Access Control,To Do,High,25,High,High
Customer Relationship Management (CRM),In Progress,Medium,26,High,High
Training Management,Completed,High,16,Medium,Low
Payment Gateway Integration,To Do,Medium,29,High,High
Data Management and Storage,Completed,Medium,10,Medium,Low
Payment Gateway Integration,In Progress,Low,23,High,Low
Project Closure Report,In Progress,Low,23,High,Low
Business Continuity Plan (BCP),Completed,Medium,28,High,Low
Workflow Management,To Do,Low,2,Low,Low
Certificate of Acceptance (CoA),Completed,Medium,19,Medium,Low
Workflow Management,To Do,Low,9,Low,High
Audit and Compliance,Completed,Medium,4,Low,Low
Data Services & Management,To Do,High,27,High,High
Data Services & Management,Completed,Medium,9,Low,Low
Reporting and Analytics,To Do,High,9,Low,High
Change Management,To Do,Low,29,High,Low
Payment Gateway Integration,To Do,High,26,High,Low
Change Management,Completed,High,26,High,Low
Notification System,In Progress,Low,13,Medium,High
Transfer of Knowledge (TOK),Completed,Medium,2,Low,Low
Portal,In Progress,Medium,26,High,Low
User Authentication and Access Control,To Do,High,1,Low,High
Office Renovation,To Do,High,8,Low,High
Data Lake & Data Warehouse Operation,To Do,High,22,High,High
User Authentication and Access Control,To Do,Low,1,Low,Medium
DevOps,Completed,Medium,7,Low,Low
Contract Documentation,Completed,Low,11,Medium,Low
Notification System,In Progress,High,18,Medium,Low
Audit and Compliance,In Progress,Low,11,Medium,Low
Human Resource Management (HRM),Completed,Low,8,Low,Low
Reporting and Analytics,In Progress,Low,13,Medium,Low
DevOps,In Progress,Medium,14,Medium,Medium
Notification System,In Progress,High,7,Low,High
User Authentication and Access Control,Completed,Medium,18,Medium,Low
Audit and Compliance,Completed,Medium,20,High,Low
Portal Learning Management System (LMS),Completed,Low,7,Low,Low
Data Management and Storage,To Do,Low,8,Low,Medium
Notification System,In Progress,Low,2,Low,Medium
Contract Documentation,To Do,Low,25,High,Low
Enterprise Architecture (EA),To Do,High,25,High,High
Enterprise Architecture (EA),To Do,Low,19,Medium,High
Project Closure Report,In Progress,High,10,Medium,Low
Project Management,In Progress,Medium,12,Medium,Medium
Monitoring & Control Reports,Completed,High,24,High,Low
Management Plans,Completed,Medium,11,Medium,Low
Data Services & Management,To Do,Low,18,Medium,High
Audit and Compliance,Completed,High,3,Low,Low
Data Management and Storage,Completed,Medium,3,Low,Low
Transfer of Technology (TOT),Completed,High,11,Medium,Low
Contract Documentation,In Progress,Low,12,Medium,Low
Contract Documentation,Completed,High,15,Medium,Low
Workflow Management,To Do,High,16,Medium,Medium
Human Resource Management (HRM),To Do,Low,15,Medium,Low
Transfer of Knowledge (TOK),To Do,High,16,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Medium,5,Low,Medium
Reporting and Analytics,To Do,Medium,21,High,Medium
Human Resource Management (HRM),In Progress,Low,20,High,High
Payment Gateway Integration,Completed,High,20,High,Low
Portal,To Do,Low,2,Low,Medium
User Authentication and Access Control,Completed,High,23,High,Low
Contract Documentation,Completed,Low,5,Low,Low
User Authentication and Access Control,Completed,Low,6,Low,Low
Contract Documentation,In Progress,High,10,Medium,Low
Inventory Management,In Progress,High,19,Medium,High
Training Management,To Do,Low,3,Low,Low
Audit and Compliance,To Do,High,14,Medium,Low
Management Plans,To Do,Low,3,Low,Medium
Portal,To Do,Low,23,High,High
Project Closure Report,Completed,Low,17,Medium,Low
Data Services & Management,To Do,Low,1,Low,High
Data Lake & Data Warehouse Operation,In Progress,Low,6,Low,Low
Communication and Collaboration Tools,To Do,High,15,Medium,Medium
Change Management,In Progress,Low,9,Low,Low
Transfer of Knowledge (TOK),Completed,Low,28,High,Low
DevOps,Completed,Low,28,High,Low
Transfer of Technology (TOT),In Progress,High,26,High,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,9,Low,Medium
Reporting and Analytics,In Progress,Medium,1,Low,High
Payment Gateway Integration,Completed,Medium,20,High,Low
User Authentication and Access Control,To Do,Low,3,Low,High
Inventory Management,To Do,High,24,High,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,16,Medium,Low
Communication and Collaboration Tools,In Progress,Medium,23,High,Medium
Audit and Compliance,Completed,Medium,18,Medium,Low
Communication and Collaboration Tools,To Do,High,5,Low,High
Change Management,Completed,Medium,1,Low,Low
Finalization and Integration,In Progress,Low,22,High,Low
Enterprise Architecture (EA),To Do,Medium,17,Medium,Medium
Payment Gateway Integration,In Progress,High,28,High,Low
Transfer of Knowledge (TOK),In Progress,Low,6,Low,Medium
Contract Documentation,In Progress,Low,20,High,Low
Monitoring & Control Reports,In Progress,Low,12,Medium,Low
Transfer of Knowledge (TOK),Completed,High,12,Medium,Low
Transfer of Knowledge (TOK),In Progress,Medium,4,Low,Low
Certificate of Acceptance (CoA),Completed,Low,26,High,Low
Certificate of Acceptance (CoA),In Progress,Low,14,Medium,Medium
Project Management,To Do,Medium,30,High,Low
Portal Learning Management System (LMS),Completed,Low,15,Medium,Low
Portal Learning Management System (LMS),To Do,High,11,Medium,Low
Monitoring & Control Reports,To Do,Low,5,Low,High
Data Services & Management,Completed,Low,26,High,Low
Portal Learning Management System (LMS),Completed,High,28,High,Low
Project Management Information System (PMIS),Completed,Medium,7,Low,Low
Workflow Management,To Do,Low,25,High,High
Project Closure Report,To Do,High,23,High,Low
Data Services & Management,To Do,Low,1,Low,High
Training Management,In Progress,High,28,High,Low
Data Lake & Data Warehouse Operation,To Do,Low,3,Low,Low
Customer Relationship Management (CRM),To Do,High,15,Medium,High
Change Management,To Do,High,26,High,Low
Training Management,In Progress,High,27,High,Low
Office Renovation,Completed,High,30,High,Low
Business Continuity Plan (BCP),Completed,Medium,25,High,Low
Reporting and Analytics,To Do,High,17,Medium,Medium
Data Management and Storage,In Progress,High,20,High,High
Finalization and Integration,In Progress,Medium,11,Medium,Medium
Certificate of Acceptance (CoA),To Do,Medium,30,High,Low
Office Renovation,In Progress,Low,1,Low,Low
Transfer of Knowledge (TOK),Completed,Medium,18,Medium,Low
Monitoring & Control Reports,Completed,Medium,2,Low,Low
Communication and Collaboration Tools,In Progress,Low,30,High,Medium
