Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Office Renovation,To Do,Low,14,Medium
DevOps,To Do,Low,9,Low
Monitoring & Control Reports,Completed,Low,26,High
Payment Gateway Integration,To Do,Low,17,Medium
Change Management,Completed,Medium,6,Low
Portal Learning Management System (LMS),In Progress,Low,23,High
DevOps,In Progress,Medium,27,High
Data Lake & Data Warehouse Operation,In Progress,Low,10,Medium
Project Closure Report,Completed,Medium,23,High
Payment Gateway Integration,Completed,High,9,Low
Data Services & Management,Completed,Medium,20,High
Data Services & Management,In Progress,Medium,22,High
Contract Documentation,In Progress,Medium,10,Medium
Data Services & Management,In Progress,Low,17,Medium
Customer Relationship Management (CRM),In Progress,High,3,Low
Portal,In Progress,Low,2,Low
Portal Learning Management System (LMS),In Progress,Medium,11,Medium
Portal,To Do,Medium,23,High
Workflow Management,In Progress,Low,16,Medium
Finalization and Integration,Completed,Low,2,Low
Data Management and Storage,To Do,Medium,28,High
Enterprise Architecture (EA),To Do,High,8,Low
Communication and Collaboration Tools,In Progress,Low,6,Low
Portal,To Do,Low,21,High
Project Closure Report,Completed,Medium,24,High
Office Renovation,In Progress,Medium,18,Medium
Office Renovation,Completed,Medium,22,High
Monitoring & Control Reports,Completed,Low,21,High
Certificate of Acceptance (CoA),In Progress,High,30,High
Communication and Collaboration Tools,To Do,Low,4,Low
User Authentication and Access Control,In Progress,Low,7,Low
Customer Relationship Management (CRM),In Progress,Low,14,Medium
Project Management Information System (PMIS),In Progress,Medium,3,Low
Communication and Collaboration Tools,Completed,High,4,Low
Customer Relationship Management (CRM),Completed,Low,21,High
User Interface and User Experience (UI/UX),In Progress,Low,24,High
User Authentication and Access Control,To Do,Low,17,Medium
Management Plans,Completed,Low,17,Medium
Training Management,Completed,Low,28,High
Reporting and Analytics,To Do,Medium,20,High
Portal,To Do,Low,22,High
Portal,Completed,Low,11,Medium
Workflow Management,To Do,Medium,29,High
Project Management Information System (PMIS),Completed,Low,26,High
Transfer of Knowledge (TOK),To Do,Low,18,Medium
User Authentication and Access Control,Completed,Medium,25,High
Certificate of Acceptance (CoA),To Do,High,3,Low
Training Management,Completed,Low,26,High
DevOps,To Do,High,27,High
Human Resource Management (HRM),Completed,High,10,Medium
Workflow Management,In Progress,High,9,Low
Notification System,In Progress,High,28,High
Office Renovation,Completed,Low,10,Medium
Finalization and Integration,Completed,Medium,27,High
Customer Relationship Management (CRM),Completed,High,2,Low
Project Closure Report,To Do,Medium,26,High
Reporting and Analytics,In Progress,High,17,Medium
User Authentication and Access Control,To Do,High,27,High
User Authentication and Access Control,Completed,High,15,Medium
Workflow Management,In Progress,High,2,Low
Certificate of Acceptance (CoA),Completed,Low,30,High
Project Management Information System (PMIS),To Do,Medium,9,Low
Data Management and Storage,To Do,High,7,Low
User Authentication and Access Control,Completed,High,17,Medium
Transfer of Technology (TOT),To Do,Medium,7,Low
Contract Documentation,In Progress,High,15,Medium
Monitoring & Control Reports,In Progress,High,29,High
Human Resource Management (HRM),To Do,Low,10,Medium
Enterprise Architecture (EA),To Do,Medium,27,High
Enterprise Architecture (EA),To Do,Low,10,Medium
Project Management Information System (PMIS),To Do,Medium,9,Low
Management Plans,To Do,High,13,Medium
Project Closure Report,Completed,High,17,Medium
Certificate of Acceptance (CoA),Completed,Low,13,Medium
Management Plans,Completed,Medium,11,Medium
Project Closure Report,In Progress,Low,11,Medium
Notification System,In Progress,Low,5,Low
Data Services & Management,In Progress,High,10,Medium
Office Renovation,In Progress,High,10,Medium
Project Management Information System (PMIS),Completed,Medium,23,High
Finalization and Integration,In Progress,Medium,21,High
Notification System,Completed,Low,1,Low
Communication and Collaboration Tools,In Progress,High,3,Low
Portal Learning Management System (LMS),In Progress,Medium,14,Medium
User Interface and User Experience (UI/UX),Completed,Medium,26,High
Notification System,To Do,High,18,Medium
Management Plans,In Progress,High,10,Medium
Project Closure Report,In Progress,Low,11,Medium
Management Plans,Completed,Medium,20,High
Management Plans,To Do,Low,11,Medium
DevOps,In Progress,High,17,Medium
Reporting and Analytics,In Progress,Low,25,High
Monitoring & Control Reports,To Do,Low,27,High
Data Management and Storage,To Do,High,21,High
User Authentication and Access Control,To Do,High,15,Medium
DevOps,Completed,Low,19,Medium
Portal Learning Management System (LMS),In Progress,Low,18,Medium
Workflow Management,To Do,Low,19,Medium
Project Management Information System (PMIS),In Progress,High,21,High
Certificate of Acceptance (CoA),To Do,High,23,High
Workflow Management,In Progress,Low,27,High
Portal Learning Management System (LMS),Completed,High,9,Low
DevOps,In Progress,High,23,High
Project Management Information System (PMIS),Completed,Medium,19,Medium
Management Plans,In Progress,High,11,Medium
Monitoring & Control Reports,To Do,High,27,High
Reporting and Analytics,To Do,Low,13,Medium
Portal,Completed,High,8,Low
Training Management,Completed,Medium,30,High
Data Lake & Data Warehouse Operation,Completed,Medium,19,Medium
Certificate of Acceptance (CoA),Completed,Low,20,High
User Authentication and Access Control,Completed,Medium,27,High
Project Management,To Do,Medium,4,Low
Enterprise Architecture (EA),To Do,Medium,10,Medium
Data Services & Management,In Progress,High,17,Medium
User Authentication and Access Control,To Do,Medium,28,High
User Interface and User Experience (UI/UX),To Do,Medium,21,High
Data Lake & Data Warehouse Operation,In Progress,Low,14,Medium
Data Management and Storage,To Do,High,7,Low
Finalization and Integration,In Progress,High,17,Medium
Office Renovation,Completed,Medium,2,Low
Human Resource Management (HRM),To Do,Medium,25,High
Data Lake & Data Warehouse Operation,In Progress,High,3,Low
Project Management Information System (PMIS),To Do,Medium,25,High
Monitoring & Control Reports,In Progress,High,24,High
Inventory Management,To Do,Low,15,Medium
Data Management and Storage,In Progress,High,1,Low
Data Services & Management,To Do,Low,12,Medium
Transfer of Knowledge (TOK),To Do,Medium,12,Medium
Portal Learning Management System (LMS),Completed,High,25,High
Inventory Management,Completed,Low,6,Low
Management Plans,Completed,Low,16,Medium
Customer Relationship Management (CRM),In Progress,Medium,7,Low
Customer Relationship Management (CRM),In Progress,Low,16,Medium
Enterprise Architecture (EA),In Progress,Medium,11,Medium
Certificate of Acceptance (CoA),Completed,High,21,High
Data Services & Management,In Progress,Low,20,High
Data Services & Management,In Progress,Medium,18,Medium
Portal Learning Management System (LMS),In Progress,Low,26,High
DevOps,Completed,Low,3,Low
Business Continuity Plan (BCP),In Progress,Medium,5,Low
Project Management Information System (PMIS),In Progress,Low,13,Medium
Reporting and Analytics,To Do,Low,17,Medium
Communication and Collaboration Tools,Completed,Low,19,Medium
Data Management and Storage,In Progress,Medium,16,Medium
Finalization and Integration,Completed,Low,21,High
DevOps,In Progress,Low,15,Medium
Portal,In Progress,Low,21,High
Office Renovation,To Do,High,13,Medium
Portal Learning Management System (LMS),To Do,Medium,7,Low
Data Lake & Data Warehouse Operation,Completed,Low,11,Medium
DevOps,Completed,Medium,13,Medium
Human Resource Management (HRM),To Do,Medium,19,Medium
Transfer of Technology (TOT),Completed,Medium,19,Medium
DevOps,In Progress,High,17,Medium
Enterprise Architecture (EA),In Progress,High,4,Low
Contract Documentation,Completed,Low,26,High
Transfer of Knowledge (TOK),To Do,High,4,Low
Enterprise Architecture (EA),Completed,Medium,8,Low
Payment Gateway Integration,To Do,Medium,2,Low
Office Renovation,Completed,Medium,27,High
Reporting and Analytics,To Do,Low,10,Medium
Project Management Information System (PMIS),In Progress,Low,14,Medium
User Authentication and Access Control,In Progress,Low,7,Low
Notification System,Completed,High,12,Medium
Notification System,In Progress,Medium,1,Low
Payment Gateway Integration,To Do,Low,30,High
Portal Learning Management System (LMS),Completed,Medium,4,Low
Business Continuity Plan (BCP),In Progress,Low,15,Medium
Payment Gateway Integration,To Do,Medium,26,High
User Authentication and Access Control,To Do,Low,27,High
Portal Learning Management System (LMS),In Progress,Low,2,Low
Project Closure Report,In Progress,Low,3,Low
Audit and Compliance,To Do,High,21,High
Data Services & Management,Completed,High,19,Medium
Contract Documentation,In Progress,Low,2,Low
Portal Learning Management System (LMS),To Do,Low,7,Low
Project Management,In Progress,Medium,19,Medium
Notification System,Completed,Low,3,Low
Change Management,To Do,Medium,18,Medium
Customer Relationship Management (CRM),Completed,High,16,Medium
DevOps,In Progress,High,29,High
Payment Gateway Integration,Completed,Medium,6,Low
Enterprise Architecture (EA),In Progress,High,1,Low
Change Management,In Progress,Low,29,High
Monitoring & Control Reports,Completed,High,18,Medium
Training Management,To Do,Low,29,High
Office Renovation,To Do,Low,26,High
Project Management Information System (PMIS),In Progress,Low,4,Low
Workflow Management,In Progress,Medium,30,High
Portal,To Do,Medium,28,High
Office Renovation,To Do,Medium,6,Low
Transfer of Technology (TOT),In Progress,Low,30,High
Portal,Completed,Medium,27,High
Human Resource Management (HRM),Completed,Low,28,High
Certificate of Acceptance (CoA),Completed,Low,21,High
Portal Learning Management System (LMS),Completed,Low,20,High
User Interface and User Experience (UI/UX),In Progress,Medium,9,Low
Workflow Management,Completed,High,5,Low
Office Renovation,Completed,High,27,High
Audit and Compliance,To Do,High,26,High
Payment Gateway Integration,In Progress,Low,1,Low
Portal,To Do,Low,3,Low
Communication and Collaboration Tools,Completed,High,28,High
User Interface and User Experience (UI/UX),To Do,High,9,Low
Portal Learning Management System (LMS),To Do,Medium,14,Medium
Project Management Information System (PMIS),In Progress,Medium,5,Low
Contract Documentation,To Do,Low,12,Medium
Project Management,In Progress,Medium,5,Low
Reporting and Analytics,In Progress,Low,8,Low
Workflow Management,To Do,Low,10,Medium
Inventory Management,To Do,Low,10,Medium
Portal,In Progress,Low,18,Medium
Reporting and Analytics,To Do,Low,5,Low
Data Services & Management,In Progress,Medium,11,Medium
Project Management,To Do,Medium,21,High
Office Renovation,To Do,Medium,25,High
Audit and Compliance,Completed,Low,25,High
Enterprise Architecture (EA),In Progress,High,2,Low
Project Closure Report,To Do,Medium,3,Low
Certificate of Acceptance (CoA),To Do,High,28,High
Finalization and Integration,Completed,High,25,High
Reporting and Analytics,In Progress,Low,18,Medium
Project Management,In Progress,Medium,1,Low
Data Management and Storage,Completed,Medium,29,High
Office Renovation,In Progress,Medium,7,Low
Contract Documentation,In Progress,Medium,18,Medium
DevOps,To Do,Medium,22,High
Certificate of Acceptance (CoA),Completed,Medium,18,Medium
Customer Relationship Management (CRM),To Do,Low,19,Medium
Project Closure Report,Completed,Low,21,High
Office Renovation,Completed,Low,2,Low
Audit and Compliance,In Progress,Low,6,Low
Portal Learning Management System (LMS),In Progress,High,23,High
Transfer of Knowledge (TOK),Completed,High,11,Medium
Data Lake & Data Warehouse Operation,To Do,High,10,Medium
Audit and Compliance,To Do,High,18,Medium
Business Continuity Plan (BCP),To Do,High,13,Medium
Workflow Management,In Progress,High,30,High
Management Plans,To Do,High,3,Low
Portal,To Do,Low,21,High
Inventory Management,Completed,High,17,Medium
Certificate of Acceptance (CoA),Completed,High,2,Low
Customer Relationship Management (CRM),To Do,Medium,4,Low
Project Management,Completed,Low,26,High
Portal Learning Management System (LMS),Completed,Medium,17,Medium
Data Services & Management,To Do,Medium,24,High
Project Closure Report,To Do,High,30,High
Change Management,To Do,Medium,24,High
Certificate of Acceptance (CoA),In Progress,High,26,High
Project Management,In Progress,Low,26,High
Data Services & Management,To Do,High,7,Low
Human Resource Management (HRM),Completed,High,29,High
Data Lake & Data Warehouse Operation,Completed,Medium,23,High
Business Continuity Plan (BCP),Completed,High,23,High
Data Management and Storage,Completed,Low,1,Low
DevOps,In Progress,High,29,High
Human Resource Management (HRM),In Progress,Medium,4,Low
Monitoring & Control Reports,Completed,Medium,21,High
Reporting and Analytics,In Progress,Medium,24,High
User Interface and User Experience (UI/UX),To Do,Low,9,Low
Certificate of Acceptance (CoA),In Progress,High,2,Low
Communication and Collaboration Tools,To Do,Low,25,High
Certificate of Acceptance (CoA),To Do,Low,15,Medium
Monitoring & Control Reports,To Do,High,15,Medium
Monitoring & Control Reports,Completed,Low,9,Low
Data Management and Storage,Completed,Low,24,High
Data Management and Storage,Completed,Low,20,High
Inventory Management,To Do,Medium,5,Low
Audit and Compliance,Completed,High,27,High
Transfer of Technology (TOT),In Progress,High,19,Medium
Data Services & Management,Completed,Medium,14,Medium
Transfer of Technology (TOT),In Progress,High,4,Low
Notification System,In Progress,High,1,Low
Training Management,In Progress,Low,7,Low
Portal Learning Management System (LMS),In Progress,Low,7,Low
Project Management,Completed,Low,9,Low
User Interface and User Experience (UI/UX),Completed,High,19,Medium
Customer Relationship Management (CRM),Completed,Low,6,Low
Notification System,To Do,High,12,Medium
Portal Learning Management System (LMS),In Progress,Low,13,Medium
Reporting and Analytics,To Do,High,21,High
Data Management and Storage,To Do,High,7,Low
Data Management and Storage,Completed,Low,19,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,1,Low
Inventory Management,In Progress,Low,21,High
Management Plans,To Do,High,14,Medium
Monitoring & Control Reports,In Progress,Low,30,High
Reporting and Analytics,Completed,High,19,Medium
Transfer of Knowledge (TOK),To Do,Low,13,Medium
Transfer of Knowledge (TOK),To Do,Low,1,Low
Notification System,To Do,High,20,High
Project Management Information System (PMIS),In Progress,Low,17,Medium
Business Continuity Plan (BCP),Completed,Low,9,Low
Finalization and Integration,To Do,High,18,Medium
Transfer of Technology (TOT),In Progress,Medium,11,Medium
Enterprise Architecture (EA),In Progress,Low,22,High
Monitoring & Control Reports,In Progress,Medium,7,Low
Reporting and Analytics,In Progress,High,9,Low
Audit and Compliance,Completed,High,30,High
Business Continuity Plan (BCP),In Progress,High,20,High
Management Plans,In Progress,Low,1,Low
Office Renovation,In Progress,Low,21,High
Transfer of Knowledge (TOK),To Do,Medium,4,Low
Transfer of Knowledge (TOK),Completed,High,5,Low
Workflow Management,Completed,High,11,Medium
Contract Documentation,In Progress,Low,17,Medium
Data Services & Management,To Do,Medium,3,Low
Business Continuity Plan (BCP),Completed,Low,23,High
Contract Documentation,In Progress,Low,12,Medium
Human Resource Management (HRM),In Progress,Low,12,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,1,Low
Management Plans,Completed,Low,28,High
Data Services & Management,Completed,High,10,Medium
Data Services & Management,To Do,Medium,28,High
Finalization and Integration,To Do,Medium,7,Low
Data Services & Management,In Progress,High,22,High
Data Services & Management,In Progress,Medium,17,Medium
Project Management,In Progress,Low,7,Low
Audit and Compliance,In Progress,High,7,Low
Data Services & Management,In Progress,Low,16,Medium
Enterprise Architecture (EA),To Do,High,18,Medium
Notification System,Completed,Low,22,High
Transfer of Knowledge (TOK),In Progress,Medium,4,Low
Monitoring & Control Reports,To Do,High,17,Medium
Finalization and Integration,To Do,High,26,High
Business Continuity Plan (BCP),In Progress,Medium,30,High
Management Plans,To Do,Medium,21,High
Training Management,In Progress,Medium,2,Low
Customer Relationship Management (CRM),To Do,High,11,Medium
Business Continuity Plan (BCP),To Do,Medium,30,High
Management Plans,Completed,High,17,Medium
User Interface and User Experience (UI/UX),To Do,Medium,21,High
Data Services & Management,Completed,Medium,1,Low
Portal,Completed,Medium,26,High
Audit and Compliance,To Do,Low,25,High
Data Services & Management,To Do,High,23,High
Data Services & Management,Completed,Low,22,High
Monitoring & Control Reports,In Progress,High,30,High
Project Management,To Do,Medium,10,Medium
