Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Notification System,In Progress,Low,4,Low,Low
Workflow Management,Completed,Medium,19,Medium,Low
Change Management,To Do,Medium,27,High,Low
Finalization and Integration,Completed,High,10,Medium,Low
Project Closure Report,To Do,Low,16,Medium,Low
Audit and Compliance,In Progress,Medium,21,High,Medium
Data Management and Storage,In Progress,Medium,10,Medium,Medium
Training Management,Completed,Low,3,Low,Low
Management Plans,In Progress,High,22,High,Medium
Contract Documentation,In Progress,Medium,18,Medium,Low
Inventory Management,In Progress,High,10,Medium,Medium
Portal,Completed,Low,24,High,Low
Reporting and Analytics,To Do,High,1,Low,Medium
Transfer of Technology (TOT),Completed,Low,11,Medium,Low
Contract Documentation,Completed,High,7,Low,Low
Certificate of Acceptance (CoA),Completed,Low,27,High,Low
Payment Gateway Integration,Completed,Medium,23,High,Medium
Portal Learning Management System (LMS),To Do,Medium,13,Medium,Medium
Data Services & Management,In Progress,Medium,1,Low,Medium
Change Management,Completed,Low,12,Medium,Low
Contract Documentation,To Do,Low,5,Low,Low
Contract Documentation,To Do,High,8,Low,Low
Project Management,To Do,Medium,15,Medium,Medium
Payment Gateway Integration,Completed,High,18,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,14,Medium,Medium
Project Management Information System (PMIS),To Do,High,16,Medium,Medium
Data Services & Management,To Do,Medium,25,High,Medium
Finalization and Integration,In Progress,Low,8,Low,Medium
Certificate of Acceptance (CoA),In Progress,Low,3,Low,Low
Business Continuity Plan (BCP),Completed,High,30,High,Low
Data Services & Management,In Progress,Low,14,Medium,Medium
Notification System,Completed,Low,21,High,Low
Project Closure Report,To Do,Medium,20,High,Low
Payment Gateway Integration,Completed,High,23,High,High
Notification System,Completed,Low,13,Medium,Low
Inventory Management,Completed,High,24,High,Medium
Notification System,In Progress,High,17,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,19,Medium,Medium
DevOps,Completed,High,22,High,Medium
Transfer of Technology (TOT),To Do,Low,30,High,Low
Training Management,In Progress,High,9,Low,Medium
Data Services & Management,In Progress,Medium,9,Low,Medium
Enterprise Architecture (EA),To Do,Medium,16,Medium,Low
Human Resource Management (HRM),To Do,Medium,11,Medium,Medium
Management Plans,To Do,Low,1,Low,Low
Business Continuity Plan (BCP),To Do,Low,5,Low,Medium
Portal Learning Management System (LMS),Completed,Medium,30,High,Low
Payment Gateway Integration,In Progress,Medium,25,High,Medium
Workflow Management,In Progress,High,21,High,High
Audit and Compliance,To Do,High,30,High,Low
Transfer of Technology (TOT),Completed,High,9,Low,Low
Data Services & Management,Completed,Low,24,High,Low
Project Management Information System (PMIS),To Do,Low,19,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Medium,25,High,Medium
Portal Learning Management System (LMS),Completed,Medium,26,High,Low
Office Renovation,In Progress,Medium,14,Medium,Low
Contract Documentation,To Do,High,22,High,Low
Notification System,To Do,High,26,High,Low
Office Renovation,Completed,Low,27,High,Low
Human Resource Management (HRM),To Do,Medium,21,High,Medium
Training Management,To Do,Medium,12,Medium,Low
Workflow Management,Completed,Medium,14,Medium,Low
Reporting and Analytics,To Do,Low,4,Low,Low
Audit and Compliance,Completed,Low,2,Low,Low
Communication and Collaboration Tools,Completed,High,18,Medium,Low
Monitoring & Control Reports,Completed,Medium,30,High,Medium
Office Renovation,In Progress,High,26,High,Low
Notification System,Completed,Low,18,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,13,Medium,Medium
Inventory Management,In Progress,High,2,Low,Medium
Reporting and Analytics,To Do,Low,27,High,Medium
Project Management,In Progress,Low,23,High,Medium
Communication and Collaboration Tools,Completed,Medium,15,Medium,Low
Project Management,To Do,Low,14,Medium,Medium
User Authentication and Access Control,To Do,High,16,Medium,Medium
Notification System,Completed,High,27,High,Medium
Finalization and Integration,Completed,Low,28,High,Low
Data Services & Management,To Do,Medium,21,High,Medium
Change Management,In Progress,Medium,7,Low,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,13,Medium,Medium
Human Resource Management (HRM),In Progress,Medium,6,Low,Medium
Project Management Information System (PMIS),In Progress,Medium,23,High,Medium
Payment Gateway Integration,To Do,Low,25,High,Medium
Office Renovation,Completed,Medium,5,Low,Low
User Authentication and Access Control,In Progress,Medium,28,High,Medium
Change Management,Completed,Medium,23,High,Low
Audit and Compliance,To Do,Medium,22,High,Low
Portal,Completed,High,25,High,Medium
Business Continuity Plan (BCP),In Progress,High,3,Low,Low
Transfer of Technology (TOT),To Do,Low,24,High,Low
Portal,Completed,High,20,High,Medium
Customer Relationship Management (CRM),In Progress,Low,10,Medium,High
DevOps,To Do,High,12,Medium,Medium
Office Renovation,Completed,Medium,17,Medium,Low
Certificate of Acceptance (CoA),To Do,High,28,High,Medium
Management Plans,To Do,High,14,Medium,Low
Finalization and Integration,To Do,Medium,20,High,Medium
Enterprise Architecture (EA),In Progress,Medium,12,Medium,Low
Contract Documentation,To Do,High,16,Medium,Low
Office Renovation,Completed,High,20,High,Low
Office Renovation,In Progress,High,18,Medium,Low
Audit and Compliance,To Do,High,25,High,Low
Office Renovation,Completed,Medium,8,Low,Low
DevOps,Completed,Medium,27,High,Low
Finalization and Integration,To Do,Medium,28,High,Medium
Finalization and Integration,Completed,Low,3,Low,Low
Payment Gateway Integration,Completed,High,5,Low,Medium
Finalization and Integration,Completed,High,2,Low,Low
Inventory Management,Completed,High,30,High,Medium
User Authentication and Access Control,Completed,Low,20,High,Medium
Enterprise Architecture (EA),To Do,Medium,27,High,Low
DevOps,To Do,Low,2,Low,Medium
Communication and Collaboration Tools,Completed,Medium,9,Low,Low
Payment Gateway Integration,Completed,Medium,2,Low,Medium
Reporting and Analytics,In Progress,High,22,High,High
Workflow Management,In Progress,Low,2,Low,Medium
Transfer of Knowledge (TOK),To Do,High,17,Medium,Low
Data Services & Management,Completed,Medium,13,Medium,Low
Monitoring & Control Reports,In Progress,High,29,High,Medium
Portal,In Progress,Medium,23,High,Medium
Workflow Management,To Do,Medium,17,Medium,Medium
DevOps,In Progress,High,26,High,High
Change Management,To Do,Low,16,Medium,Low
Monitoring & Control Reports,In Progress,Medium,21,High,Medium
Transfer of Knowledge (TOK),In Progress,Medium,23,High,Medium
Project Management,To Do,Medium,5,Low,Medium
Contract Documentation,To Do,Low,11,Medium,Low
Management Plans,Completed,Medium,28,High,Low
Office Renovation,Completed,Medium,5,Low,Low
Portal,Completed,Low,4,Low,Low
Portal,To Do,Low,8,Low,Low
Payment Gateway Integration,To Do,Medium,29,High,Medium
Inventory Management,To Do,Low,8,Low,Low
Payment Gateway Integration,Completed,Medium,18,Medium,Medium
Business Continuity Plan (BCP),Completed,High,14,Medium,Low
Audit and Compliance,To Do,Low,24,High,Low
User Interface and User Experience (UI/UX),In Progress,Low,2,Low,Low
Enterprise Architecture (EA),In Progress,Low,20,High,Low
Notification System,In Progress,High,9,Low,Low
Office Renovation,To Do,High,23,High,Low
Enterprise Architecture (EA),In Progress,High,12,Medium,Low
User Interface and User Experience (UI/UX),To Do,High,12,Medium,Medium
Change Management,To Do,Low,26,High,Low
Finalization and Integration,To Do,Low,13,Medium,Medium
Human Resource Management (HRM),To Do,Medium,14,Medium,Medium
Business Continuity Plan (BCP),Completed,High,20,High,Low
Enterprise Architecture (EA),In Progress,Medium,1,Low,Low
Change Management,In Progress,High,15,Medium,Low
Project Closure Report,To Do,Medium,15,Medium,Low
Project Management,Completed,High,5,Low,Low
Workflow Management,In Progress,High,9,Low,Medium
Data Services & Management,Completed,Low,28,High,Low
Inventory Management,Completed,Low,18,Medium,Low
Project Closure Report,In Progress,Low,6,Low,Low
User Authentication and Access Control,In Progress,Low,15,Medium,Medium
User Interface and User Experience (UI/UX),In Progress,Low,30,High,Medium
Training Management,To Do,Medium,23,High,Low
Certificate of Acceptance (CoA),Completed,Low,11,Medium,Low
Management Plans,To Do,Medium,30,High,Low
Project Closure Report,Completed,Low,17,Medium,Low
Project Management,To Do,Low,26,High,Medium
Monitoring & Control Reports,To Do,Low,4,Low,Medium
Management Plans,Completed,Low,2,Low,Low
Office Renovation,To Do,Low,25,High,Low
Notification System,To Do,High,9,Low,Low
Project Management Information System (PMIS),Completed,High,21,High,Medium
Communication and Collaboration Tools,Completed,Low,9,Low,Low
Data Services & Management,In Progress,Low,23,High,Medium
DevOps,To Do,Medium,17,Medium,Medium
Notification System,In Progress,Low,13,Medium,Low
User Interface and User Experience (UI/UX),Completed,High,15,Medium,Medium
Project Management Information System (PMIS),In Progress,Medium,25,High,Medium
Portal,In Progress,Medium,20,High,Medium
Finalization and Integration,To Do,High,8,Low,Medium
Contract Documentation,To Do,High,3,Low,Low
Project Management,Completed,High,22,High,Medium
Audit and Compliance,In Progress,Low,25,High,Medium
Audit and Compliance,Completed,Medium,10,Medium,Low
Data Services & Management,In Progress,Medium,25,High,High
User Authentication and Access Control,Completed,High,4,Low,Medium
Reporting and Analytics,In Progress,Low,6,Low,Low
Human Resource Management (HRM),In Progress,High,2,Low,Medium
Inventory Management,Completed,Medium,27,High,Low
Office Renovation,To Do,High,12,Medium,Low
Office Renovation,To Do,Medium,25,High,Low
Finalization and Integration,To Do,Low,20,High,Medium
Finalization and Integration,To Do,Medium,16,Medium,Medium
Project Closure Report,To Do,Medium,6,Low,Low
User Interface and User Experience (UI/UX),To Do,Low,28,High,Medium
Change Management,To Do,Low,27,High,Low
Portal,To Do,Low,26,High,Medium
Portal,To Do,Medium,5,Low,Medium
Audit and Compliance,Completed,High,29,High,Low
Transfer of Technology (TOT),Completed,High,12,Medium,Low
Enterprise Architecture (EA),To Do,Low,7,Low,Low
Enterprise Architecture (EA),To Do,Medium,5,Low,Low
Data Services & Management,To Do,Low,29,High,Medium
Transfer of Knowledge (TOK),To Do,Medium,20,High,Low
Change Management,To Do,Medium,21,High,Low
Payment Gateway Integration,Completed,High,13,Medium,Medium
Communication and Collaboration Tools,Completed,High,17,Medium,Low
Inventory Management,To Do,Medium,16,Medium,Medium
Data Management and Storage,To Do,Low,12,Medium,Medium
Portal,To Do,Low,13,Medium,Medium
Transfer of Technology (TOT),Completed,Low,28,High,Low
Data Services & Management,In Progress,High,12,Medium,High
Monitoring & Control Reports,In Progress,Low,4,Low,Low
Enterprise Architecture (EA),In Progress,Medium,24,High,Low
Office Renovation,To Do,Low,2,Low,Low
Data Lake & Data Warehouse Operation,Completed,Low,4,Low,Low
Payment Gateway Integration,To Do,Low,15,Medium,Medium
DevOps,In Progress,High,11,Medium,Medium
Payment Gateway Integration,Completed,Low,2,Low,Medium
Reporting and Analytics,To Do,Low,8,Low,Low
Change Management,Completed,High,25,High,Low
User Interface and User Experience (UI/UX),To Do,Medium,30,High,Medium
User Interface and User Experience (UI/UX),Completed,Low,22,High,Medium
Reporting and Analytics,In Progress,High,11,Medium,Medium
Payment Gateway Integration,In Progress,High,18,Medium,Medium
Office Renovation,To Do,Medium,20,High,Low
Reporting and Analytics,In Progress,Medium,24,High,Medium
Notification System,Completed,Medium,7,Low,Low
Workflow Management,Completed,High,23,High,Medium
Office Renovation,To Do,High,22,High,Low
Data Services & Management,Completed,Low,8,Low,Low
Business Continuity Plan (BCP),Completed,Medium,1,Low,Low
Business Continuity Plan (BCP),To Do,Medium,15,Medium,Medium
Monitoring & Control Reports,In Progress,Low,12,Medium,Medium
User Authentication and Access Control,Completed,Medium,7,Low,Medium
Data Management and Storage,To Do,High,28,High,High
Certificate of Acceptance (CoA),In Progress,High,19,Medium,Low
Certificate of Acceptance (CoA),Completed,Low,3,Low,Low
Notification System,Completed,Low,16,Medium,Low
Management Plans,In Progress,Low,3,Low,Low
Project Management Information System (PMIS),Completed,Medium,25,High,Low
Reporting and Analytics,Completed,Medium,14,Medium,Low
Monitoring & Control Reports,Completed,High,26,High,Medium
Human Resource Management (HRM),To Do,High,28,High,High
Project Closure Report,To Do,Medium,26,High,Low
Audit and Compliance,To Do,Medium,16,Medium,Low
Project Closure Report,To Do,Medium,3,Low,Low
Business Continuity Plan (BCP),In Progress,High,21,High,Medium
Certificate of Acceptance (CoA),To Do,Medium,26,High,Medium
Project Closure Report,Completed,Low,9,Low,Low
Transfer of Knowledge (TOK),In Progress,Low,9,Low,Low
Transfer of Technology (TOT),In Progress,Medium,1,Low,Medium
Workflow Management,In Progress,Low,9,Low,Medium
DevOps,Completed,Low,13,Medium,Low
Human Resource Management (HRM),To Do,Low,18,Medium,Medium
Workflow Management,Completed,Medium,27,High,Low
Management Plans,In Progress,High,5,Low,Low
Audit and Compliance,To Do,Low,23,High,Low
Contract Documentation,Completed,Low,3,Low,Low
Business Continuity Plan (BCP),In Progress,High,3,Low,Low
Customer Relationship Management (CRM),Completed,High,29,High,Medium
Office Renovation,To Do,Low,14,Medium,Low
DevOps,To Do,Low,9,Low,Medium
Monitoring & Control Reports,Completed,Low,26,High,High
Payment Gateway Integration,To Do,Low,17,Medium,Medium
Change Management,Completed,Medium,6,Low,Low
Portal Learning Management System (LMS),In Progress,Low,23,High,Medium
DevOps,In Progress,Medium,27,High,High
Data Lake & Data Warehouse Operation,In Progress,Low,10,Medium,Medium
Project Closure Report,Completed,Medium,23,High,Low
Payment Gateway Integration,Completed,High,9,Low,Medium
Data Services & Management,Completed,Medium,20,High,Low
Data Services & Management,In Progress,Medium,22,High,High
Contract Documentation,In Progress,Medium,10,Medium,Low
Data Services & Management,In Progress,Low,17,Medium,Medium
Customer Relationship Management (CRM),In Progress,High,3,Low,Medium
Portal,In Progress,Low,2,Low,Low
Portal Learning Management System (LMS),In Progress,Medium,11,Medium,Medium
Portal,To Do,Medium,23,High,Medium
Workflow Management,In Progress,Low,16,Medium,Medium
Finalization and Integration,Completed,Low,2,Low,Low
Data Management and Storage,To Do,Medium,28,High,Medium
Enterprise Architecture (EA),To Do,High,8,Low,Low
Communication and Collaboration Tools,In Progress,Low,6,Low,Medium
Portal,To Do,Low,21,High,Medium
Project Closure Report,Completed,Medium,24,High,Low
Office Renovation,In Progress,Medium,18,Medium,Low
Office Renovation,Completed,Medium,22,High,Low
Monitoring & Control Reports,Completed,Low,21,High,High
Certificate of Acceptance (CoA),In Progress,High,30,High,Medium
Communication and Collaboration Tools,To Do,Low,4,Low,Medium
User Authentication and Access Control,In Progress,Low,7,Low,Medium
Customer Relationship Management (CRM),In Progress,Low,14,Medium,High
Project Management Information System (PMIS),In Progress,Medium,3,Low,Medium
Communication and Collaboration Tools,Completed,High,4,Low,Low
Customer Relationship Management (CRM),Completed,Low,21,High,Medium
User Interface and User Experience (UI/UX),In Progress,Low,24,High,Medium
User Authentication and Access Control,To Do,Low,17,Medium,Medium
Management Plans,Completed,Low,17,Medium,Low
Training Management,Completed,Low,28,High,Low
Reporting and Analytics,To Do,Medium,20,High,Medium
Portal,To Do,Low,22,High,Medium
Portal,Completed,Low,11,Medium,Low
Workflow Management,To Do,Medium,29,High,Medium
Project Management Information System (PMIS),Completed,Low,26,High,Low
Transfer of Knowledge (TOK),To Do,Low,18,Medium,Low
User Authentication and Access Control,Completed,Medium,25,High,Medium
Certificate of Acceptance (CoA),To Do,High,3,Low,Low
Training Management,Completed,Low,26,High,Low
DevOps,To Do,High,27,High,High
Human Resource Management (HRM),Completed,High,10,Medium,Low
Workflow Management,In Progress,High,9,Low,Medium
Notification System,In Progress,High,28,High,Medium
Office Renovation,Completed,Low,10,Medium,Low
Finalization and Integration,Completed,Medium,27,High,Low
Customer Relationship Management (CRM),Completed,High,2,Low,Low
Project Closure Report,To Do,Medium,26,High,Low
Reporting and Analytics,In Progress,High,17,Medium,Medium
User Authentication and Access Control,To Do,High,27,High,High
User Authentication and Access Control,Completed,High,15,Medium,Medium
Workflow Management,In Progress,High,2,Low,Medium
Certificate of Acceptance (CoA),Completed,Low,30,High,Low
Project Management Information System (PMIS),To Do,Medium,9,Low,Medium
Data Management and Storage,To Do,High,7,Low,Medium
User Authentication and Access Control,Completed,High,17,Medium,Medium
Transfer of Technology (TOT),To Do,Medium,7,Low,Low
Contract Documentation,In Progress,High,15,Medium,Low
Monitoring & Control Reports,In Progress,High,29,High,High
Human Resource Management (HRM),To Do,Low,10,Medium,Medium
Enterprise Architecture (EA),To Do,Medium,27,High,Low
Enterprise Architecture (EA),To Do,Low,10,Medium,Low
Project Management Information System (PMIS),To Do,Medium,9,Low,Medium
Management Plans,To Do,High,13,Medium,Low
Project Closure Report,Completed,High,17,Medium,Low
Certificate of Acceptance (CoA),Completed,Low,13,Medium,Low
Management Plans,Completed,Medium,11,Medium,Low
Project Closure Report,In Progress,Low,11,Medium,Low
Notification System,In Progress,Low,5,Low,Low
Data Services & Management,In Progress,High,10,Medium,High
Office Renovation,In Progress,High,10,Medium,Low
Project Management Information System (PMIS),Completed,Medium,23,High,Low
Finalization and Integration,In Progress,Medium,21,High,High
Notification System,Completed,Low,1,Low,Low
Communication and Collaboration Tools,In Progress,High,3,Low,Medium
Portal Learning Management System (LMS),In Progress,Medium,14,Medium,Medium
User Interface and User Experience (UI/UX),Completed,Medium,26,High,Medium
Notification System,To Do,High,18,Medium,Low
Management Plans,In Progress,High,10,Medium,Low
Project Closure Report,In Progress,Low,11,Medium,Low
Management Plans,Completed,Medium,20,High,Low
Management Plans,To Do,Low,11,Medium,Low
DevOps,In Progress,High,17,Medium,Medium
Reporting and Analytics,In Progress,Low,25,High,Medium
Monitoring & Control Reports,To Do,Low,27,High,Medium
Data Management and Storage,To Do,High,21,High,Medium
User Authentication and Access Control,To Do,High,15,Medium,Medium
DevOps,Completed,Low,19,Medium,Low
Portal Learning Management System (LMS),In Progress,Low,18,Medium,Medium
Workflow Management,To Do,Low,19,Medium,Medium
Project Management Information System (PMIS),In Progress,High,21,High,High
Certificate of Acceptance (CoA),To Do,High,23,High,Medium
Workflow Management,In Progress,Low,27,High,Medium
Portal Learning Management System (LMS),Completed,High,9,Low,Low
DevOps,In Progress,High,23,High,High
Project Management Information System (PMIS),Completed,Medium,19,Medium,Low
Management Plans,In Progress,High,11,Medium,Low
Monitoring & Control Reports,To Do,High,27,High,High
Reporting and Analytics,To Do,Low,13,Medium,Medium
Portal,Completed,High,8,Low,Low
Training Management,Completed,Medium,30,High,Low
Data Lake & Data Warehouse Operation,Completed,Medium,19,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,20,High,Low
User Authentication and Access Control,Completed,Medium,27,High,Medium
Project Management,To Do,Medium,4,Low,Medium
Enterprise Architecture (EA),To Do,Medium,10,Medium,Low
Data Services & Management,In Progress,High,17,Medium,High
User Authentication and Access Control,To Do,Medium,28,High,Medium
User Interface and User Experience (UI/UX),To Do,Medium,21,High,Medium
Data Lake & Data Warehouse Operation,In Progress,Low,14,Medium,Medium
Data Management and Storage,To Do,High,7,Low,Medium
Finalization and Integration,In Progress,High,17,Medium,High
Office Renovation,Completed,Medium,2,Low,Low
Human Resource Management (HRM),To Do,Medium,25,High,Medium
Data Lake & Data Warehouse Operation,In Progress,High,3,Low,Medium
Project Management Information System (PMIS),To Do,Medium,25,High,Medium
Monitoring & Control Reports,In Progress,High,24,High,High
Inventory Management,To Do,Low,15,Medium,Medium
Data Management and Storage,In Progress,High,1,Low,Medium
Data Services & Management,To Do,Low,12,Medium,Medium
Transfer of Knowledge (TOK),To Do,Medium,12,Medium,Low
Portal Learning Management System (LMS),Completed,High,25,High,Medium
Inventory Management,Completed,Low,6,Low,Low
Management Plans,Completed,Low,16,Medium,Low
Customer Relationship Management (CRM),In Progress,Medium,7,Low,Medium
Customer Relationship Management (CRM),In Progress,Low,16,Medium,High
Enterprise Architecture (EA),In Progress,Medium,11,Medium,Low
Certificate of Acceptance (CoA),Completed,High,21,High,Low
Data Services & Management,In Progress,Low,20,High,Medium
Data Services & Management,In Progress,Medium,18,Medium,Medium
Portal Learning Management System (LMS),In Progress,Low,26,High,Medium
DevOps,Completed,Low,3,Low,Low
Business Continuity Plan (BCP),In Progress,Medium,5,Low,Low
Project Management Information System (PMIS),In Progress,Low,13,Medium,Medium
Reporting and Analytics,To Do,Low,17,Medium,Medium
Communication and Collaboration Tools,Completed,Low,19,Medium,Low
Data Management and Storage,In Progress,Medium,16,Medium,Medium
Finalization and Integration,Completed,Low,21,High,Low
DevOps,In Progress,Low,15,Medium,Medium
Portal,In Progress,Low,21,High,Medium
Office Renovation,To Do,High,13,Medium,Low
Portal Learning Management System (LMS),To Do,Medium,7,Low,Medium
Data Lake & Data Warehouse Operation,Completed,Low,11,Medium,Medium
DevOps,Completed,Medium,13,Medium,Low
Human Resource Management (HRM),To Do,Medium,19,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,19,Medium,Low
DevOps,In Progress,High,17,Medium,Medium
Enterprise Architecture (EA),In Progress,High,4,Low,Low
Contract Documentation,Completed,Low,26,High,Low
Transfer of Knowledge (TOK),To Do,High,4,Low,Low
Enterprise Architecture (EA),Completed,Medium,8,Low,Low
Payment Gateway Integration,To Do,Medium,2,Low,Medium
Office Renovation,Completed,Medium,27,High,Low
Reporting and Analytics,To Do,Low,10,Medium,Medium
Project Management Information System (PMIS),In Progress,Low,14,Medium,Medium
User Authentication and Access Control,In Progress,Low,7,Low,Medium
Notification System,Completed,High,12,Medium,Low
Notification System,In Progress,Medium,1,Low,Low
Payment Gateway Integration,To Do,Low,30,High,Medium
Portal Learning Management System (LMS),Completed,Medium,4,Low,Low
Business Continuity Plan (BCP),In Progress,Low,15,Medium,Medium
Payment Gateway Integration,To Do,Medium,26,High,Medium
User Authentication and Access Control,To Do,Low,27,High,Medium
Portal Learning Management System (LMS),In Progress,Low,2,Low,Low
Project Closure Report,In Progress,Low,3,Low,Low
Audit and Compliance,To Do,High,21,High,Low
Data Services & Management,Completed,High,19,Medium,Low
Contract Documentation,In Progress,Low,2,Low,Low
Portal Learning Management System (LMS),To Do,Low,7,Low,Low
Project Management,In Progress,Medium,19,Medium,Medium
Notification System,Completed,Low,3,Low,Low
Change Management,To Do,Medium,18,Medium,Low
Customer Relationship Management (CRM),Completed,High,16,Medium,Low
DevOps,In Progress,High,29,High,High
Payment Gateway Integration,Completed,Medium,6,Low,Medium
Enterprise Architecture (EA),In Progress,High,1,Low,Low
Change Management,In Progress,Low,29,High,Medium
Monitoring & Control Reports,Completed,High,18,Medium,High
Training Management,To Do,Low,29,High,Low
Office Renovation,To Do,Low,26,High,Low
Project Management Information System (PMIS),In Progress,Low,4,Low,Low
Workflow Management,In Progress,Medium,30,High,Medium
Portal,To Do,Medium,28,High,Medium
Office Renovation,To Do,Medium,6,Low,Low
Transfer of Technology (TOT),In Progress,Low,30,High,Medium
Portal,Completed,Medium,27,High,Low
Human Resource Management (HRM),Completed,Low,28,High,Low
Certificate of Acceptance (CoA),Completed,Low,21,High,Low
Portal Learning Management System (LMS),Completed,Low,20,High,Low
User Interface and User Experience (UI/UX),In Progress,Medium,9,Low,Medium
Workflow Management,Completed,High,5,Low,Low
Office Renovation,Completed,High,27,High,Low
Audit and Compliance,To Do,High,26,High,Low
Payment Gateway Integration,In Progress,Low,1,Low,Medium
Portal,To Do,Low,3,Low,Medium
Communication and Collaboration Tools,Completed,High,28,High,Medium
User Interface and User Experience (UI/UX),To Do,High,9,Low,Medium
Portal Learning Management System (LMS),To Do,Medium,14,Medium,Medium
Project Management Information System (PMIS),In Progress,Medium,5,Low,Medium
Contract Documentation,To Do,Low,12,Medium,Low
Project Management,In Progress,Medium,5,Low,Medium
Reporting and Analytics,In Progress,Low,8,Low,Low
Workflow Management,To Do,Low,10,Medium,Medium
Inventory Management,To Do,Low,10,Medium,Medium
Portal,In Progress,Low,18,Medium,Medium
Reporting and Analytics,To Do,Low,5,Low,Low
Data Services & Management,In Progress,Medium,11,Medium,Medium
Project Management,To Do,Medium,21,High,Medium
Office Renovation,To Do,Medium,25,High,Low
Audit and Compliance,Completed,Low,25,High,Low
Enterprise Architecture (EA),In Progress,High,2,Low,Low
Project Closure Report,To Do,Medium,3,Low,Low
Certificate of Acceptance (CoA),To Do,High,28,High,Medium
Finalization and Integration,Completed,High,25,High,Medium
Reporting and Analytics,In Progress,Low,18,Medium,Medium
Project Management,In Progress,Medium,1,Low,Medium
Data Management and Storage,Completed,Medium,29,High,Low
Office Renovation,In Progress,Medium,7,Low,Low
Contract Documentation,In Progress,Medium,18,Medium,Low
DevOps,To Do,Medium,22,High,Medium
Certificate of Acceptance (CoA),Completed,Medium,18,Medium,Low
Customer Relationship Management (CRM),To Do,Low,19,Medium,Medium
Project Closure Report,Completed,Low,21,High,Low
Office Renovation,Completed,Low,2,Low,Low
Audit and Compliance,In Progress,Low,6,Low,Medium
Portal Learning Management System (LMS),In Progress,High,23,High,High
Transfer of Knowledge (TOK),Completed,High,11,Medium,Low
Data Lake & Data Warehouse Operation,To Do,High,10,Medium,Medium
Audit and Compliance,To Do,High,18,Medium,Low
Business Continuity Plan (BCP),To Do,High,13,Medium,Medium
Workflow Management,In Progress,High,30,High,High
Management Plans,To Do,High,3,Low,Low
Portal,To Do,Low,21,High,Medium
Inventory Management,Completed,High,17,Medium,Low
Certificate of Acceptance (CoA),Completed,High,2,Low,Low
Customer Relationship Management (CRM),To Do,Medium,4,Low,Medium
Project Management,Completed,Low,26,High,Low
Portal Learning Management System (LMS),Completed,Medium,17,Medium,Low
Data Services & Management,To Do,Medium,24,High,Medium
Project Closure Report,To Do,High,30,High,Medium
Change Management,To Do,Medium,24,High,Low
Certificate of Acceptance (CoA),In Progress,High,26,High,Medium
Project Management,In Progress,Low,26,High,Medium
Data Services & Management,To Do,High,7,Low,Medium
Human Resource Management (HRM),Completed,High,29,High,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,23,High,Medium
Business Continuity Plan (BCP),Completed,High,23,High,Low
Data Management and Storage,Completed,Low,1,Low,Low
DevOps,In Progress,High,29,High,High
